SYMBOL,logFC,adj.P.Val,,,,,,,,Gene,,CTNNB1 （22 %）TP53 （29 %）LRP1B （28 %）PREX2 （22 %）ERBB4 （20 %）PTPRT （20 %）ZFHX3 （19 %）KMT2C （19 %）ALK （17 %）NTRK3 （17 %）锌f521 （18 %）CAMTA1 （18 %）FHIT （18 %）MAML2 （15 %）狐狸1 （15 %）GPHN （15 %）干旱2 （12 %）SND1 （15 %）LPP （15 %）GRIN2A （14 %）有突变的样本所有样品前20个基因规模（样本）基因
COX5A,0.701343706,1.69E-05,,,,,,,,IKBKG,,
LMNB1,-1.649858557,2.71E-14,,,,,,,,NKD1,,
ITGAL,-0.969508992,0.003112723,,,,,,,,LGR5,,
ITGAX,0.349727218,0.340570117,,,,,,,,DENR,,
DDC,0.175045464,0.389959143,,,,,,,,KMO,,
OGN,-1.159850475,1.46E-05,,,,,,,,AKR7A2,,
CAST,-0.412366135,0.000100752,,,,,,,,RUVBL1,,
CYP2B6,2.280157608,1.80E-14,,,,,,,,NCOA1,,
CYP3A5,1.822842999,2.01E-07,,,,,,,,NUMB,,
HNF1A,-0.598474439,0.01673891,,,,,,,,PEA15,,
C4BPB,-1.049626187,5.19E-06,,,,,,,,MARCO,,
AGA,-0.4751667,0.065163943,,,,,,,,ABCC3,,
RASA1,0.041099212,0.914976609,,,,,,,,TRADD,,
PTMS,0.021792281,0.920087026,,,,,,,,TNFRSF25,,
ENDOU,-0.387239846,0.016519417,,,,,,,,RNGTT,,
GSTM3,0.471206304,0.08117888,,,,,,,,TNFSF13,,
ATP6V1B2,-0.462618711,0.00307054,,,,,,,,TNFRSF6B,,
ATP6V1C1,-2.25072742,2.18E-26,,,,,,,,FADD,,
CSRP1,-0.042594464,0.832668314,,,,,,,,DLK1,,
FLNA,-0.622095373,0.000394616,,,,,,,,TRIM24,,
NF1,0.243574459,0.634771578,,,,,,,,IQGAP1,,
MAOA,0.867245908,2.65E-07,,,,,,,,GMPS,,
ACO1,0.964902,9.86E-13,,,,,,,,SOCS2,,
ABCB4,-0.575742574,0.0744285,,,,,,,,CFLAR,,
AGXT,0.992220651,3.01E-06,,,,,,,,CCN6,,
NT5E,-0.653293595,0.00288026,,,,,,,,IER3,,
GPD1,2.862376238,3.25E-22,,,,,,,,EIF2B5,,
MSR1,-0.663568398,0.02366216,,,,,,,,EIF2S2,,
VDAC1,-0.470155587,0.000240103,,,,,,,,CCNA2,,
BGN,0.976550818,0.00314554,,,,,,,,AP1M1,,
SDHB,0.908830067,7.76E-10,,,,,,,,CCNB1,,
CD9,-0.50155587,0.012786542,,,,,,,,BTRC,,
BCKDHB,1.410638513,7.53E-17,,,,,,,,H3C7,,
COMT,1.40334411,1.89E-13,,,,,,,,P4HA2,,
TGM2,1.318528996,4.60E-09,,,,,,,,WNT3A,,
MUT,1.122307537,1.82E-13,,,,,,,,KCNK17,,
OSBP,-0.661295211,1.01E-08,,,,,,,,SLC25A21,,
PCMT1,0.011012326,0.950900493,,,,,,,,SOCS3,,
FBL,-1.283673469,2.77E-08,,,,,,,,TM4SF5,,
RPS4Y1,0.327692463,0.130588174,,,,,,,,PKD2L1,,
GART,-0.59142251,2.39E-07,,,,,,,,PRC1,,
TNXB,2.102141847,1.47E-10,,,,,,,,CLDN1,,
PAICS,-0.06314407,0.554973256,,,,,,,,DIRAS3,,
SCP2,1.142756112,2.02E-10,,,,,,,,LDB2,,
UGT1A1,2.418286523,5.81E-14,,,,,,,,IL33,,
UGT1A4,2.590725399,3.77E-18,,,,,,,,LATS1,,
UBA1,-0.614507981,1.13E-10,,,,,,,,SLC16A3,,
GPX3,-0.176924631,0.469560891,,,,,,,,CCNE2,,
NME2,-0.916569004,4.43E-14,,,,,,,,EXO1,,
ENPP1,0.803354213,0.000135577,,,,,,,,PCSK7,,
FDXR,0.457355021,0.019099494,,,,,,,,DEPDC7,,
PRKACG,-0.367589412,0.020793732,,,,,,,,XPR1,,
HNRNPA2B1,-0.676368963,9.59E-10,,,,,,,,CD5L,,
RFX1,1.389543342,9.58E-06,,,,,,,,NOLC1,,
CYP7A1,-1.925237422,1.06E-08,,,,,,,,PTTG1,,
CBL,0.308102647,0.489845338,,,,,,,,MAPKAPK2,,
PRKACB,-0.933380481,2.47E-06,,,,,,,,PIWIL1,,
UQCRC2,0.25523338,0.03273555,,,,,,,,CD14,,
AADAC,1.051040614,8.24E-07,,,,,,,,CD19,,
CPN2,-0.859001819,1.27E-05,,,,,,,,TRIP10,,
FECH,0.315215195,0.052131652,,,,,,,,PPIG,,
MRC1,2.224944433,3.05E-18,,,,,,,,KL,,
,-0.282289351,0.152208505,,,,,,,,ADIPOQ,,
CES1,1.273257224,4.68E-11,,,,,,,,ACVRL1,,
FBLN1,-1.2927157,2.52E-14,,,,,,,,RECQL4,,
TCEA1,-1.737270156,4.66E-24,,,,,,,,GRAP2,,
PTGS1,-1.952758133,4.39E-10,,,,,,,,CD80,,
ITGA6,-2.925146494,6.27E-26,,,,,,,,NTN1,,
SFPQ,-1.632198424,3.27E-31,,,,,,,,TP53INP1,,
TUBG1,-1.703839159,1.38E-19,,,,,,,,NCR1,,
PPIB,-0.475328349,4.20E-06,,,,,,,,GGPS1,,
ME2,-1.751081026,4.47E-22,,,,,,,,FHL5,,
GLDC,2.658920994,3.33E-23,,,,,,,,PCYT1B,,
WARS,-0.455789048,0.002558716,,,,,,,,TBPL1,,
RPS3,-0.557173166,2.86E-08,,,,,,,,CHD1L,,
GCSH,1.419296828,3.35E-13,,,,,,,,WTAP,,
JAK1,-0.454354415,0.112847936,,,,,,,,AKAP12,,
SP100,-1.325611235,3.14E-07,,,,,,,,NUP155,,
AHCY,-0.112204486,0.308327318,,,,,,,,ISG15,,
CFL1,-0.649222065,9.21E-10,,,,,,,,SOCS5,,
EIF4B,-0.882531825,1.50E-10,,,,,,,,KDM4A,,
F8A1,-0.740664781,0.002280484,,,,,,,,DCAF1,,
ATP2B4,-1.394059406,2.49E-19,,,,,,,,HDAC9,,
DGKA,-0.052626793,0.896106439,,,,,,,,HDAC4,,
CPT2,0.680925439,1.48E-06,,,,,,,,CD151,,
DTYMK,-1.497080218,4.06E-14,,,,,,,,MAML1,,
RRM1,0.360699131,0.354807544,,,,,,,,ACYP2,,
PRTN3,0.665589008,0.006838261,,,,,,,,NUAK1,,
GPT,3.352818751,1.51E-26,,,,,,,,FGF19,,
CHM,-0.786229541,0.002891995,,,,,,,,RBX1,,
KDELR1,-1.327884421,1.93E-11,,,,,,,,HNRNPDL,,
CYP3A7,1.784016973,4.40E-11,,,,,,,,,,
EEF1B2,-0.556082037,5.37E-08,,,,,,,,,,
ATP5F1,0.558031926,1.54E-05,,,,,,,,,,
TBXAS1,0.610022227,0.009970872,,,,,,,,,,
ACP1,-0.687825823,2.46E-06,,,,,,,,,,
ACAT1,0.958769448,1.14E-10,,,,,,,,,,
TNC,0.082743989,0.809004803,,,,,,,,,,
MYL9,-0.056102243,0.817068739,,,,,,,,,,
POLR2A,-1.103334007,0.000346812,,,,,,,,,,
CDK2,-1.609294807,1.30E-10,,,,,,,,,,
ADRBK1,-0.83579511,1.18E-05,,,,,,,,,,
MCM3,-3.43615882,1.14E-21,,,,,,,,,,
AZGP1,0.216811477,0.185330263,,,,,,,,,,
MPST,0.419327137,0.001422193,,,,,,,,,,
RPS12,-0.351828652,0.005735723,,,,,,,,,,
FAS,-0.246645787,0.269608602,,,,,,,,,,
YY1,-0.766680137,0.001939339,,,,,,,,,,
DNAJB1,-0.867559103,4.43E-09,,,,,,,,,,
DNAJB2,-0.356314407,0.184303543,,,,,,,,,,
ATP5A1,0.362699535,0.000535009,,,,,,,,,,
CTSS,-0.750040412,0.001848249,,,,,,,,,,
PSMA1,-0.002586381,0.98236916,,,,,,,,,,
PSMA2,0.312921802,0.019606113,,,,,,,,,,
PSMA3,-0.037088301,0.726091433,,,,,,,,,,
PSMA4,0.113719943,0.299239545,,,,,,,,,,
S100P,-1.930167711,1.60E-09,,,,,,,,,,
CD40,-1.032410588,2.30E-05,,,,,,,,,,
NFKBIA,-0.164134169,0.515805511,,,,,,,,,,
MSN,-0.493513841,3.33E-05,,,,,,,,,,
PTPN3,0.735916347,0.093051136,,,,,,,,,,
DDX6,-1.119155385,4.39E-19,,,,,,,,,,
CTNNA2,0.000171752,0.999396527,,,,,,,,,,
DNMT1,-0.979409982,5.32E-07,,,,,,,,,,
U2AF2,-1.579359467,1.43E-26,,,,,,,,,,
RPL13,-0.671802384,6.04E-05,,,,,,,,,,
IVD,0.988522934,1.08E-12,,,,,,,,,,
S100A4,-0.614083653,0.01865551,,,,,,,,,,
MGAT1,-1.380076783,2.36E-13,,,,,,,,,,
HMGB2,-1.515437462,1.03E-16,,,,,,,,,,
PTBP1,-1.157890483,2.11E-19,,,,,,,,,,
TARS,-0.47933926,5.89E-05,,,,,,,,,,
VARS,-1.458213781,1.77E-26,,,,,,,,,,
EEF1G,-0.944908062,1.54E-19,,,,,,,,,,
FKBP2,0.411871085,0.000338503,,,,,,,,,,
MST1,-0.181592241,0.37565538,,,,,,,,,,
STOM,0.622762174,0.000190117,,,,,,,,,,
AK4,0.810709234,2.79E-05,,,,,,,,,,
PON1,1.330046474,3.51E-12,,,,,,,,,,
ANXA13,-0.174681754,0.540619616,,,,,,,,,,
MAOB,0.791836735,8.85E-08,,,,,,,,,,
YWHAQ,-0.923590624,1.61E-14,,,,,,,,,,
MAPK3,-1.405374823,1.25E-08,,,,,,,,,,
MARK3,0.956577086,0.015721396,,,,,,,,,,
DPP4,-1.218630026,1.70E-05,,,,,,,,,,
RPL10,-0.848181451,1.30E-09,,,,,,,,,,
RPA1,-1.138290564,2.60E-13,,,,,,,,,,
APEX1,-1.05049505,2.29E-18,,,,,,,,,,
CD82,0.609779753,0.000562214,,,,,,,,,,
DCK,-0.273631037,0.310369218,,,,,,,,,,
CAD,-2.526631643,6.36E-30,,,,,,,,,,
CALR,-0.177379269,0.17406221,,,,,,,,,,
MAP4,-1.375479895,7.48E-18,,,,,,,,,,
CANX,-0.572590422,3.36E-10,,,,,,,,,,
CFP,-0.253950293,0.459618173,,,,,,,,,,
PIK3R1,-0.461941806,0.003218277,,,,,,,,,,
PSMB8,0.205809254,0.154582547,,,,,,,,,,
PSMB9,-0.133734088,0.460079722,,,,,,,,,,
PSMA5,-0.083360275,0.389055805,,,,,,,,,,
HLA-DMA,-1.049373611,2.90E-07,,,,,,,,,,
HLA-DMB,-0.998555264,9.47E-05,,,,,,,,,,
PSMB4,-0.028308749,0.827229765,,,,,,,,,,
PSMB6,0.762851081,4.24E-07,,,,,,,,,,
PSMB5,-0.068044049,0.670007882,,,,,,,,,,
GSTM2,0.721761972,0.004007289,,,,,,,,,,
ABCD3,0.332976359,0.011672179,,,,,,,,,,
TMOD1,-0.838856335,0.002096331,,,,,,,,,,
SSFA2,-0.466811477,0.129352005,,,,,,,,,,
ACADL,2.175550616,9.81E-12,,,,,,,,,,
NDUFS1,0.86814508,7.56E-13,,,,,,,,,,
ADH6,2.607930895,3.87E-30,,,,,,,,,,
SMARCA1,0.832238836,0.024027635,,,,,,,,,,
MAPK1,-1.555698121,4.43E-26,,,,,,,,,,
GCA,-0.869680744,3.61E-05,,,,,,,,,,
ERCC5,0.521913518,0.15672903,,,,,,,,,,
GRN,-1.276904425,5.26E-08,,,,,,,,,,
LAP3,0.679905031,1.06E-07,,,,,,,,,,
HSD11B1,3.093988685,3.35E-17,,,,,,,,,,
CD38,-1.346453829,2.46E-07,,,,,,,,,,
GTF2E1,-0.287492423,0.448523978,,,,,,,,,,
PCSK6,-0.581289149,0.160801137,,,,,,,,,,
TPP2,0.589826228,2.00E-05,,,,,,,,,,
IMPA1,-1.55106082,2.04E-13,,,,,,,,,,
PTPN6,-0.693726005,0.000232768,,,,,,,,,,
SHC1,-2.359779753,4.97E-27,,,,,,,,,,
TKT,-0.979793898,5.61E-13,,,,,,,,,,
CASP1,-0.592331784,0.008897391,,,,,,,,,,
NOS3,-1.051242675,0.003281435,,,,,,,,,,
PML,-0.937795514,2.77E-05,,,,,,,,,,
SERPINA4,-1.232147909,2.00E-09,,,,,,,,,,
EEF1D,-1.312810669,4.09E-25,,,,,,,,,,
OAS2,0.404546373,0.185330263,,,,,,,,,,
MARCKS,-1.060557688,0.000412826,,,,,,,,,,
AQP1,-0.294200849,0.171646088,,,,,,,,,,
GNA11,-0.143453223,0.456315584,,,,,,,,,,
ALDH4A1,1.052061022,6.76E-11,,,,,,,,,,
PBLD,2.86635684,9.98E-29,,,,,,,,,,
ERP29,0.566407355,9.02E-07,,,,,,,,,,
PRDX6,0.264012932,0.011663695,,,,,,,,,,
C21orf33,1.00238432,1.58E-14,,,,,,,,,,
BLVRB,0.747332795,4.20E-09,,,,,,,,,,
PRDX5,-0.088967468,0.408213187,,,,,,,,,,
DDT;DDTL,0.823671449,3.49E-07,,,,,,,,,,
GCHFR,1.654000808,3.36E-14,,,,,,,,,,
PRDX3,0.319034148,0.001796519,,,,,,,,,,
ATP5D,0.546817539,0.000246336,,,,,,,,,,
RPL12,-0.607597494,9.10E-10,,,,,,,,,,
ECHS1,1.445271772,2.17E-21,,,,,,,,,,
CMPK1,0.219276622,0.044968663,,,,,,,,,,
PEBP1,0.649363508,1.67E-08,,,,,,,,,,
PDIA3,-0.185209133,0.042340633,,,,,,,,,,
PPP2R1A,-0.543008689,2.38E-09,,,,,,,,,,
PPP2R1B,-1.262275207,2.34E-08,,,,,,,,,,
FCER1G,0.534077591,0.010723252,,,,,,,,,,
PPIF,0.818347141,0.000132104,,,,,,,,,,
NMT1,-1.282632855,5.89E-24,,,,,,,,,,
HLA-A,-0.725338452,0.00172692,,,,,,,,,,
HLA-B,-0.511234593,0.007330552,,,,,,,,,,
HLA-B,-0.760315215,0.00534511,,,,,,,,,,
HLA-C,-0.691594261,4.05E-06,,,,,,,,,,
HLA-C,-1.201050717,1.91E-07,,,,,,,,,,
HLA-F,-1.18867448,1.10E-05,,,,,,,,,,
HMOX2,-0.445130329,0.007257733,,,,,,,,,,
ADSS,-1.548989695,1.32E-21,,,,,,,,,,
SLC6A1,-0.601283087,0.014262969,,,,,,,,,,
LRPAP1,-0.850343504,7.11E-07,,,,,,,,,,
TSPO,-0.409779753,0.04448553,,,,,,,,,,
ADSL,-0.764174581,5.82E-09,,,,,,,,,,
PKLR,0.949545363,0.000126081,,,,,,,,,,
CLIP1,-1.159921196,2.89E-12,,,,,,,,,,
SRI,-1.373176399,4.15E-09,,,,,,,,,,
SERPINB1,-2.417468175,9.51E-18,,,,,,,,,,
ALDH1B1,1.761335623,4.28E-13,,,,,,,,,,
POLR2B,-1.868044049,6.54E-18,,,,,,,,,,
SDHA,0.8321176,9.44E-12,,,,,,,,,,
CORO1A,-0.274065468,0.264266819,,,,,,,,,,
GDI1,-1.04331178,9.38E-18,,,,,,,,,,
MAT2A,0.185138412,0.081501346,,,,,,,,,,
SRD5A2,0.955637503,4.97E-05,,,,,,,,,,
PRKAR2B,-1.820327339,3.53E-12,,,,,,,,,,
CPS1,1.818630026,2.47E-11,,,,,,,,,,
RRM2,0.710810265,0.006738242,,,,,,,,,,
SDC4,-0.996221459,3.81E-05,,,,,,,,,,
FMO4,0.710426349,0.001798143,,,,,,,,,,
FMO3,2.179258436,3.40E-16,,,,,,,,,,
DNAJA1,-0.537472217,1.71E-05,,,,,,,,,,
AKT1,0.075095979,0.678669457,,,,,,,,,,
AKT2,0.2483431,0.147345173,,,,,,,,,,
UQCRC1,0.237936957,0.039490795,,,,,,,,,,
HIBADH,0.889745403,3.32E-11,,,,,,,,,,
ATIC,-0.670367751,2.35E-09,,,,,,,,,,
HNRNPH3,-1.027439887,8.16E-09,,,,,,,,,,
HNRNPH1,-1.357920792,7.74E-23,,,,,,,,,,
YWHAB,-0.61980198,3.24E-09,,,,,,,,,,
SFN,-1.084087694,2.13E-07,,,,,,,,,,
STIP1,-1.176207315,3.20E-21,,,,,,,,,,
S100A11,-0.577268135,0.061063391,,,,,,,,,,
FCGR2B,1.823550212,1.28E-19,,,,,,,,,,
PRDX2,0.381501313,0.000128375,,,,,,,,,,
ARRB2,-0.821317438,0.001787248,,,,,,,,,,
GK;GK3P,1.236613457,9.48E-12,,,,,,,,,,
CDA,1.070600121,7.67E-07,,,,,,,,,,
DCTD,-0.245746615,0.239232597,,,,,,,,,,
GBP1,-0.297211558,0.041848756,,,,,,,,,,
GBP2,-1.680491008,7.01E-09,,,,,,,,,,
HPD,3.111962013,8.74E-20,,,,,,,,,,
CTH,2.779490806,1.02E-22,,,,,,,,,,
RPL9,-0.543453223,6.10E-06,,,,,,,,,,
ACSL1,1.823913922,1.37E-19,,,,,,,,,,
CDH5,-0.591705395,0.038529507,,,,,,,,,,
KIF5B,-1.628248131,1.03E-27,,,,,,,,,,
CSTF2,-1.349959588,5.54E-08,,,,,,,,,,
LSP1,-1.178783593,4.90E-06,,,,,,,,,,
CYP2C18,-0.667144878,0.018075886,,,,,,,,,,
CYP2C19,0.164861588,0.58193937,,,,,,,,,,
DUT,-2.257243888,2.36E-27,,,,,,,,,,
ABCD1,-2.041230552,9.20E-22,,,,,,,,,,
MAN1A1,-0.882077187,8.86E-06,,,,,,,,,,
MCM4,-2.023196605,1.19E-07,,,,,,,,,,
MCM5,-0.935683977,0.012937555,,,,,,,,,,
MCM7,-0.764093756,0.018911347,,,,,,,,,,
GALNS,0.005879976,0.982756444,,,,,,,,,,
RNASE4,-0.3086078,0.243843032,,,,,,,,,,
SDC2,-1.919145282,4.33E-14,,,,,,,,,,
CD68,-0.695079814,0.000214524,,,,,,,,,,
SHMT1,1.850333401,7.41E-22,,,,,,,,,,
SHMT2,0.473166296,8.38E-06,,,,,,,,,,
EPHX2,1.879814104,2.04E-18,,,,,,,,,,
HSPA4,-1.425985047,2.27E-30,,,,,,,,,,
MPI,-0.183633057,0.137149023,,,,,,,,,,
GPC1,-0.761335623,0.026327411,,,,,,,,,,
PFN2,-0.730672863,3.48E-05,,,,,,,,,,
CA5A,1.113497676,8.96E-06,,,,,,,,,,
CTNNA1,-0.350444534,0.000414357,,,,,,,,,,
CTNNB1,-0.261163871,0.00961128,,,,,,,,,,
PHB,0.27112548,0.011732623,,,,,,,,,,
SERPINB6,-0.583430996,0.035919846,,,,,,,,,,
RDX,-0.038149121,0.771806961,,,,,,,,,,
RPA3,-0.970539503,1.69E-07,,,,,,,,,,
RFC4,-2.058052132,5.98E-11,,,,,,,,,,
RFC2,-0.08019802,0.794137596,,,,,,,,,,
RFC1,0.481673065,0.19905575,,,,,,,,,,
RPL22,-0.546302283,5.01E-05,,,,,,,,,,
GTF2F1,-1.05404122,3.51E-05,,,,,,,,,,
SPR,-0.036017377,0.749415998,,,,,,,,,,
UGT1A3,0.873994746,0.002199703,,,,,,,,,,
CBS,2.383087492,1.20E-21,,,,,,,,,,
KRT9,-0.052354011,0.727461299,,,,,,,,,,
SAA4,-0.500050515,0.014779817,,,,,,,,,,
FBN1,-0.665780966,0.112228368,,,,,,,,,,
GCK,-0.9927157,8.18E-05,,,,,,,,,,
PCK1,3.497393413,4.57E-25,,,,,,,,,,
IRS1,-0.592594464,0.138103659,,,,,,,,,,
AGL,2.747272176,3.35E-39,,,,,,,,,,
G6PC,0.558880582,0.011238031,,,,,,,,,,
MYH9,-0.82685391,4.16E-09,,,,,,,,,,
MYH10,0.362194383,0.187333981,,,,,,,,,,
COPB2,-0.753131946,1.06E-13,,,,,,,,,,
ADD1,-0.410193979,0.03381757,,,,,,,,,,
BSG,-0.564366539,4.95E-06,,,,,,,,,,
FUS,-1.373853304,2.10E-10,,,,,,,,,,
NUP214,-1.852929885,7.95E-20,,,,,,,,,,
DEK,-1.78844211,1.41E-23,,,,,,,,,,
ATP7B,-0.680925439,0.106142883,,,,,,,,,,
MYH11,-0.224792887,0.564210396,,,,,,,,,,
GLRX,0.702141847,2.87E-05,,,,,,,,,,
PPM1A,0.25619317,0.014807066,,,,,,,,,,
IGFALS,-0.492422712,0.110771549,,,,,,,,,,
KRT2,0.450565771,0.007160744,,,,,,,,,,
HMGCL,1.24235199,2.80E-18,,,,,,,,,,
PSMC2,-0.580046474,1.42E-08,,,,,,,,,,
SLC16A2,-0.165417256,0.38569273,,,,,,,,,,
GGT5,2.420822388,1.58E-17,,,,,,,,,,
ARL2,0.001838755,0.992892199,,,,,,,,,,
ARL3,-0.750404122,1.02E-06,,,,,,,,,,
TRIM23,0.487553041,0.001742557,,,,,,,,,,
MAP2K2,-0.767993534,3.23E-11,,,,,,,,,,
UGT2B10,3.375399071,7.86E-30,,,,,,,,,,
ATP5C1,0.229228127,0.040189307,,,,,,,,,,
ATP6V1E1,-0.614154375,6.00E-06,,,,,,,,,,
CPOX,0.580783997,0.000258738,,,,,,,,,,
RPL4,-0.7192059,2.29E-09,,,,,,,,,,
LONP1,-0.265972924,0.011020836,,,,,,,,,,
PGM1,1.460507173,2.17E-28,,,,,,,,,,
PPP1CC,-1.278995757,1.46E-13,,,,,,,,,,
GNL1,-1.351707416,2.18E-14,,,,,,,,,,
POLR2I,-0.515730451,0.012097096,,,,,,,,,,
SERPINF1,-1.669761568,7.12E-16,,,,,,,,,,
DLST,0.046726611,0.704174349,,,,,,,,,,
GMPR,-0.308223884,0.137334061,,,,,,,,,,
GPX4,0.650050515,7.24E-05,,,,,,,,,,
CFHR2,-1.041998384,1.48E-06,,,,,,,,,,
HSD17B2,1.777298444,3.03E-12,,,,,,,,,,
SRP14,-1.833592645,2.30E-26,,,,,,,,,,
NUP62,-1.86086078,1.22E-17,,,,,,,,,,
HPCAL1;HPCA,-0.953394625,2.78E-07,,,,,,,,,,
FDFT1,0.197433825,0.453150058,,,,,,,,,,
TAGLN2,-1.263507779,5.20E-18,,,,,,,,,,
TALDO1,-0.526439685,1.68E-07,,,,,,,,,,
SNCA,0.254718125,0.297435737,,,,,,,,,,
ETFB,0.470519297,9.14E-05,,,,,,,,,,
RBMX,-1.664265508,2.77E-15,,,,,,,,,,
GGCX,-0.730288947,6.35E-05,,,,,,,,,,
LIPA,-0.398625985,0.011271442,,,,,,,,,,
ATP6V1A,-0.736765003,9.47E-10,,,,,,,,,,
HSPA9,-0.621913518,1.84E-09,,,,,,,,,,
EIF4A3,-1.3281471,1.33E-16,,,,,,,,,,
RPS19,-0.540008082,2.61E-05,,,,,,,,,,
RPL3,-0.743655284,2.24E-09,,,,,,,,,,
COL15A1,1.333168317,2.14E-05,,,,,,,,,,
COL18A1,-1.175257628,1.95E-16,,,,,,,,,,
DDOST,-0.283673469,0.002189784,,,,,,,,,,
ANP32A,-1.178904829,2.85E-21,,,,,,,,,,
FEN1,-3.093109719,1.12E-29,,,,,,,,,,
CAPG,-2.753293595,1.80E-18,,,,,,,,,,
CAP2,-3.455071732,1.46E-31,,,,,,,,,,
IL6ST,-0.072145888,0.867278135,,,,,,,,,,
TXLNA,-1.417821782,5.71E-16,,,,,,,,,,
CCT6A,-0.660507173,3.84E-10,,,,,,,,,,
NNMT,2.007223682,2.72E-10,,,,,,,,,,
PSMB10,0.259608002,0.249581638,,,,,,,,,,
ADH7,-0.044221055,0.869946519,,,,,,,,,,
RPL13A,-0.846494241,4.47E-09,,,,,,,,,,
ARL1,-1.375712265,3.68E-14,,,,,,,,,,
STAT3,-0.384986866,0.004254915,,,,,,,,,,
USP8,-1.067094362,0.000256182,,,,,,,,,,
PEX19,-0.92135785,1.34E-13,,,,,,,,,,
MDH1,-0.098737119,0.348507252,,,,,,,,,,
MDH2,-0.087936957,0.354186254,,,,,,,,,,
RFC5,-1.085451606,0.000641038,,,,,,,,,,
RFC3,-1.372792483,1.98E-07,,,,,,,,,,
HADHA,0.156738735,0.164433803,,,,,,,,,,
EIF2S3;EIF2S3L,-0.959325116,1.30E-18,,,,,,,,,,
CETN2,-0.462628814,0.01922808,,,,,,,,,,
EIF2D,-1.889189735,9.08E-17,,,,,,,,,,
MNDA,-1.071216407,0.000125172,,,,,,,,,,
BUD31,-1.916579107,2.19E-19,,,,,,,,,,
UBA7,-0.227379269,0.212208022,,,,,,,,,,
NAA10,-1.808850273,4.51E-16,,,,,,,,,,
HNF4A,-0.721165892,0.001412504,,,,,,,,,,
PPP1R2;PPP1R2P3,-1.922933926,9.31E-20,,,,,,,,,,
CSK,-0.644827238,3.45E-05,,,,,,,,,,
GARS,-1.470145484,6.68E-26,,,,,,,,,,
IARS,-1.25155587,6.99E-22,,,,,,,,,,
EIF1,-0.853000606,7.91E-06,,,,,,,,,,
PRKCI,-0.625580925,0.051249342,,,,,,,,,,
ACTR1B,-0.093756314,0.39862466,,,,,,,,,,
ECI1,0.756930693,5.69E-12,,,,,,,,,,
TMPO,-1.32364114,4.31E-16,,,,,,,,,,
TMPO,-1.830975955,2.15E-22,,,,,,,,,,
STAT1,-1.047423722,1.66E-09,,,,,,,,,,
STAT6,-0.788058194,1.01E-05,,,,,,,,,,
STAT5A,0.00668822,0.988596025,,,,,,,,,,
SKIV2L2,-1.679116993,3.28E-17,,,,,,,,,,
AKR1C3,-0.180511214,0.22389765,,,,,,,,,,
ARHGAP25,-0.651182057,0.037699532,,,,,,,,,,
PIK3CB,0.882168115,0.019076689,,,,,,,,,,
MTOR,-1.373368357,5.69E-09,,,,,,,,,,
PI4KA,-0.426237624,0.024779587,,,,,,,,,,
HAL,1.439997979,2.31E-07,,,,,,,,,,
EPS15,-0.532006466,8.90E-06,,,,,,,,,,
CASP3,-1.53784603,4.29E-12,,,,,,,,,,
RPS27,-1.205768842,1.58E-07,,,,,,,,,,
FRK,-1.089290766,4.09E-05,,,,,,,,,,
LRPPRC,-0.825459689,1.93E-12,,,,,,,,,,
ACAA2,1.576439685,1.60E-19,,,,,,,,,,
RPL35,-0.861578097,1.70E-06,,,,,,,,,,
WAS,-1.133016771,1.72E-05,,,,,,,,,,
PRCP,0.098494645,0.52194954,,,,,,,,,,
HTT,-1.531763993,3.62E-19,,,,,,,,,,
ECE1,-0.588462316,0.008218379,,,,,,,,,,
MTHFR,0.412477268,0.148613634,,,,,,,,,,
SLC1A4,-1.637977369,7.91E-10,,,,,,,,,,
PAFAH1B1,-0.336633663,0.008337788,,,,,,,,,,
MCAM,-1.555213174,7.77E-09,,,,,,,,,,
CRAT,0.495807234,0.001002958,,,,,,,,,,
MATR3,-1.175186906,4.20E-16,,,,,,,,,,
MSH2,-2.912527783,1.57E-24,,,,,,,,,,
BTD,-0.103495656,0.638590661,,,,,,,,,,
GPD2,-2.728328955,4.35E-25,,,,,,,,,,
SSR1,-0.305758739,0.009988638,,,,,,,,,,
PTPN9,-0.149858557,0.679961343,,,,,,,,,,
ZAP70,-0.394160436,0.251672315,,,,,,,,,,
SYK,-1.650222267,9.75E-08,,,,,,,,,,
RANBP1,-0.742028693,2.31E-05,,,,,,,,,,
NAMPT,-0.313184482,0.048999513,,,,,,,,,,
AFM,-0.122428773,0.455471756,,,,,,,,,,
PSMC4,-0.549383714,2.44E-08,,,,,,,,,,
TSFM,-0.957425743,1.80E-08,,,,,,,,,,
PPIC,-0.591553849,0.002239055,,,,,,,,,,
VDAC2,-0.50344514,0.000159958,,,,,,,,,,
ACADSB,1.511810467,6.01E-13,,,,,,,,,,
CBX5,-0.715427359,0.003234542,,,,,,,,,,
USP5,-0.553273389,2.06E-07,,,,,,,,,,
MAPK8,-0.327945039,0.358691662,,,,,,,,,,
MAPK9,-1.121468984,7.78E-08,,,,,,,,,,
MAP2K4,-0.15344514,0.340123403,,,,,,,,,,
PHKA2,1.831016367,3.75E-19,,,,,,,,,,
RANGAP1,-1.842917761,9.10E-25,,,,,,,,,,
RECQL,-2.216670034,9.82E-33,,,,,,,,,,
NOP2,-1.102505557,5.44E-05,,,,,,,,,,
CRK,0.022014548,0.888478026,,,,,,,,,,
