node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ALDH2,HADH,9606.ENSP00000261733,9606.ENSP00000474560,0,0.048,0,0,0.152,0.352,0,0.193,0.521
ALDH2,XRCC1,9606.ENSP00000261733,9606.ENSP00000262887,0,0,0,0,0,0,0,0.535,0.535
ALDH2,FHIT,9606.ENSP00000261733,9606.ENSP00000417480,0,0,0,0,0,0.361,0,0.315,0.543
ALDH2,PHGDH,9606.ENSP00000261733,9606.ENSP00000358417,0.045,0,0,0,0,0.562,0,0.122,0.6
ALDH2,GLS,9606.ENSP00000261733,9606.ENSP00000317379,0,0,0,0,0.062,0,0.6,0.075,0.622
ALDH2,PCCA,9606.ENSP00000261733,9606.ENSP00000365462,0,0,0,0,0.063,0,0.6,0.089,0.628
ALDH2,GPT,9606.ENSP00000261733,9606.ENSP00000378408,0,0,0,0,0.112,0.39,0,0.376,0.632
ALDH2,GLS2,9606.ENSP00000261733,9606.ENSP00000310447,0,0,0,0,0.063,0,0.6,0.116,0.639
ALDH2,CYP4A22,9606.ENSP00000261733,9606.ENSP00000360958,0,0,0,0,0.063,0.061,0.65,0.104,0.687
ALDH2,CYP4A11,9606.ENSP00000261733,9606.ENSP00000311095,0,0,0,0,0.063,0.061,0.65,0.108,0.688
ALDH2,GLUD2,9606.ENSP00000261733,9606.ENSP00000327589,0.049,0,0,0,0.101,0.077,0.6,0.167,0.689
ALDH2,GLUD1,9606.ENSP00000261733,9606.ENSP00000277865,0.049,0,0,0,0.101,0.077,0.6,0.318,0.745
ALDH2,DBT,9606.ENSP00000261733,9606.ENSP00000359151,0,0,0,0,0.062,0,0.8,0.101,0.816
ALDH2,ALDH4A1,9606.ENSP00000261733,9606.ENSP00000364490,0,0,0,0.65,0.065,0,0.8,0.686,0.85
ALDH2,GLYCTK,9606.ENSP00000261733,9606.ENSP00000389175,0,0,0,0,0.062,0,0.9,0.077,0.905
ALDH2,BBOX1,9606.ENSP00000261733,9606.ENSP00000263182,0,0,0,0,0.096,0.058,0.9,0.216,0.924
ALDH2,UPB1,9606.ENSP00000261733,9606.ENSP00000324343,0,0,0,0,0.092,0,0.9,0.231,0.924
ALDH2,COMT,9606.ENSP00000261733,9606.ENSP00000354511,0,0,0,0,0.062,0,0.9,0.451,0.944
ALDH2,AOC3,9606.ENSP00000261733,9606.ENSP00000312326,0,0,0,0,0.139,0.165,0.9,0.464,0.956
ALDH2,ALDH6A1,9606.ENSP00000261733,9606.ENSP00000450436,0,0,0.344,0.741,0.188,0.428,0.9,0.68,0.961
ALDH2,CYP2E1,9606.ENSP00000261733,9606.ENSP00000440689,0,0,0,0,0.062,0.061,0.9,0.744,0.974
ALDH4A1,OTC,9606.ENSP00000364490,9606.ENSP00000039007,0,0,0,0,0.062,0.056,0,0.382,0.405
ALDH4A1,C12orf5,9606.ENSP00000364490,9606.ENSP00000179259,0,0,0,0,0.053,0.056,0,0.548,0.56
ALDH4A1,SERPIND1,9606.ENSP00000364490,9606.ENSP00000215727,0,0,0,0,0.065,0,0,0.488,0.5
ALDH4A1,EEF1A2,9606.ENSP00000364490,9606.ENSP00000217182,0,0,0,0,0.076,0,0,0.377,0.4
ALDH4A1,CAT,9606.ENSP00000364490,9606.ENSP00000241052,0,0,0,0,0.079,0.172,0,0.333,0.447
ALDH4A1,GOT2,9606.ENSP00000364490,9606.ENSP00000245206,0,0,0,0,0.064,0.155,0.9,0.29,0.936
ALDH4A1,GLUD1,9606.ENSP00000364490,9606.ENSP00000277865,0.049,0,0,0,0.108,0.077,0.9,0.626,0.965
ALDH4A1,FTCD,9606.ENSP00000364490,9606.ENSP00000291670,0,0,0,0,0.094,0,0.8,0.155,0.833
ALDH4A1,PRODH2,9606.ENSP00000364490,9606.ENSP00000301175,0.058,0,0,0,0.271,0.102,0.9,0.766,0.982
ALDH4A1,ASL,9606.ENSP00000364490,9606.ENSP00000307188,0,0,0,0,0.064,0,0,0.42,0.434
ALDH4A1,GLS2,9606.ENSP00000364490,9606.ENSP00000310447,0,0,0,0,0.086,0,0.9,0.496,0.95
ALDH4A1,GLS,9606.ENSP00000364490,9606.ENSP00000317379,0,0,0,0,0.065,0,0.9,0.214,0.92
ALDH4A1,GCSH,9606.ENSP00000364490,9606.ENSP00000319531,0,0,0,0,0.049,0,0.8,0.228,0.84
ALDH4A1,SLC2A2,9606.ENSP00000364490,9606.ENSP00000323568,0,0,0,0,0.062,0,0,0.463,0.474
ALDH4A1,ENO3,9606.ENSP00000364490,9606.ENSP00000324105,0,0,0,0,0.064,0.297,0,0.217,0.441
ALDH4A1,GLUD2,9606.ENSP00000364490,9606.ENSP00000327589,0.049,0,0,0,0.108,0.077,0.9,0.485,0.952
ALDH4A1,ARG1,9606.ENSP00000364490,9606.ENSP00000349446,0.051,0,0,0,0.073,0.124,0,0.559,0.615
ALDH4A1,OAT,9606.ENSP00000364490,9606.ENSP00000357838,0.075,0,0,0,0.094,0,0.9,0.811,0.982
ALDH4A1,ASS1,9606.ENSP00000364490,9606.ENSP00000361471,0,0,0,0,0.076,0.057,0,0.51,0.536
ALDH4A1,GPT,9606.ENSP00000364490,9606.ENSP00000378408,0,0,0,0,0.116,0.143,0,0.322,0.442
ALDH4A1,SRM,9606.ENSP00000364490,9606.ENSP00000366156,0,0,0,0,0.125,0,0,0.405,0.458
ALDH4A1,IDNK,9606.ENSP00000364490,9606.ENSP00000365601,0,0,0,0,0,0,0,0.464,0.463
ALDH4A1,PCCA,9606.ENSP00000364490,9606.ENSP00000365462,0,0,0,0,0.182,0,0,0.481,0.557
ALDH4A1,ALDH6A1,9606.ENSP00000364490,9606.ENSP00000450436,0,0,0,0.58,0.105,0.393,0,0.729,0.604
ALDH4A1,GGT5,9606.ENSP00000364490,9606.ENSP00000381340,0,0,0,0,0.059,0,0.8,0.058,0.807
ALDH4A1,GLDC,9606.ENSP00000364490,9606.ENSP00000370737,0,0,0,0,0.064,0.058,0.8,0.407,0.881
ALDH4A1,PRODH,9606.ENSP00000364490,9606.ENSP00000481127,0.058,0,0,0,0.346,0.104,0.9,0.928,0.995
ALDH6A1,GCDH,9606.ENSP00000450436,9606.ENSP00000222214,0,0,0,0,0.188,0.162,0,0.36,0.526
ALDH6A1,EHHADH,9606.ENSP00000450436,9606.ENSP00000231887,0,0,0,0,0.125,0.14,0.9,0.377,0.946
ALDH6A1,GOT2,9606.ENSP00000450436,9606.ENSP00000245206,0,0,0,0,0.193,0.67,0,0.229,0.776
ALDH6A1,DMGDH,9606.ENSP00000450436,9606.ENSP00000255189,0,0,0,0,0.062,0,0,0.438,0.45
ALDH6A1,MLYCD,9606.ENSP00000450436,9606.ENSP00000262430,0,0,0,0,0.078,0,0.9,0.108,0.91
ALDH6A1,DHTKD1,9606.ENSP00000450436,9606.ENSP00000263035,0,0,0,0,0.39,0,0,0.274,0.538
ALDH6A1,ALDH8A1,9606.ENSP00000450436,9606.ENSP00000265605,0,0,0.329,0.785,0.158,0.562,0,0.68,0.692
ALDH6A1,BCKDHA,9606.ENSP00000450436,9606.ENSP00000269980,0,0,0,0,0.163,0,0,0.616,0.665
ALDH6A1,PLBD2,9606.ENSP00000450436,9606.ENSP00000280800,0,0,0,0,0,0.583,0,0,0.583
ALDH6A1,QDPR,9606.ENSP00000450436,9606.ENSP00000281243,0,0,0,0,0.062,0.788,0,0.055,0.795
ALDH6A1,HGD,9606.ENSP00000450436,9606.ENSP00000283871,0,0,0,0,0.132,0,0,0.371,0.431
ALDH6A1,DHRS1,9606.ENSP00000450436,9606.ENSP00000288111,0,0,0,0,0.064,0.257,0,0.23,0.418
ALDH6A1,PGM2L1,9606.ENSP00000450436,9606.ENSP00000298198,0,0,0,0,0.062,0.726,0,0.19,0.773
ALDH6A1,DCXR,9606.ENSP00000450436,9606.ENSP00000303356,0,0,0,0,0.316,0.252,0,0,0.466
ALDH6A1,MRC2,9606.ENSP00000450436,9606.ENSP00000307513,0,0,0,0,0,0,0,0.657,0.657
ALDH6A1,TRMT10C,9606.ENSP00000450436,9606.ENSP00000312356,0,0,0,0,0.082,0.501,0,0,0.522
ALDH6A1,BCKDHB,9606.ENSP00000450436,9606.ENSP00000318351,0,0,0,0,0.206,0,0,0.465,0.557
ALDH6A1,BCAT2,9606.ENSP00000450436,9606.ENSP00000322991,0,0,0,0,0.06,0,0,0.501,0.51
ALDH6A1,UPB1,9606.ENSP00000450436,9606.ENSP00000324343,0,0,0,0,0.075,0,0,0.405,0.426
ALDH6A1,NPEPL1,9606.ENSP00000450436,9606.ENSP00000348395,0,0,0,0,0.046,0.76,0,0.327,0.832
ALDH6A1,ECHS1,9606.ENSP00000450436,9606.ENSP00000357535,0,0,0,0,0.255,0.14,0,0.601,0.722
ALDH6A1,PHGDH,9606.ENSP00000450436,9606.ENSP00000358417,0,0,0,0,0,0.788,0,0.246,0.833
ALDH6A1,DBT,9606.ENSP00000450436,9606.ENSP00000359151,0,0,0,0,0.144,0,0.9,0.537,0.956
ALDH6A1,PGM1,9606.ENSP00000450436,9606.ENSP00000360124,0,0,0,0,0.096,0.731,0,0.217,0.792
ALDH6A1,AOX1,9606.ENSP00000450436,9606.ENSP00000363832,0,0,0,0,0.089,0,0.9,0.211,0.921
ALDH6A1,ALDOB,9606.ENSP00000450436,9606.ENSP00000363988,0,0,0,0,0.064,0.401,0,0.305,0.576
ALDH6A1,PCCA,9606.ENSP00000450436,9606.ENSP00000365462,0,0,0,0,0.145,0,0.9,0.559,0.959
ALDH6A1,NUPL1,9606.ENSP00000450436,9606.ENSP00000371155,0,0,0,0,0,0,0,0.441,0.441
ALDH6A1,BDH1,9606.ENSP00000450436,9606.ENSP00000376184,0,0,0,0,0.623,0,0,0.103,0.648
ALDH6A1,GPT,9606.ENSP00000450436,9606.ENSP00000378408,0,0,0,0,0.088,0.667,0,0.074,0.694
ALDH6A1,TMEM106B,9606.ENSP00000450436,9606.ENSP00000379901,0,0,0,0,0.065,0,0,0.421,0.435
ALDH6A1,CBSL,9606.ENSP00000450436,9606.ENSP00000381231,0,0,0,0,0.062,0.345,0,0.147,0.43
ALDH6A1,TBC1D5,9606.ENSP00000450436,9606.ENSP00000402935,0,0,0,0,0,0,0,0.426,0.426
ALDH6A1,HADH,9606.ENSP00000450436,9606.ENSP00000474560,0,0.006,0,0,0.668,0,0,0.248,0.74
ALDH8A1,CAT,9606.ENSP00000265605,9606.ENSP00000241052,0,0,0,0,0.092,0.249,0,0.217,0.419
ALDH8A1,SERPINA10,9606.ENSP00000265605,9606.ENSP00000261994,0,0,0,0,0.534,0,0,0,0.534
ALDH8A1,ALDOB,9606.ENSP00000265605,9606.ENSP00000363988,0,0,0,0,0.218,0,0,0.264,0.4
ALDH8A1,ENO3,9606.ENSP00000265605,9606.ENSP00000324105,0,0,0,0,0.095,0.103,0,0.355,0.431
ALDH8A1,HAO1,9606.ENSP00000265605,9606.ENSP00000368066,0.044,0,0,0,0.395,0,0,0.111,0.44
ALDH8A1,NPEPL1,9606.ENSP00000265605,9606.ENSP00000348395,0,0,0,0,0.064,0.402,0,0.085,0.443
ALDH8A1,SLC9A3R2,9606.ENSP00000265605,9606.ENSP00000408005,0,0,0,0,0,0.077,0,0.472,0.492
ALDH8A1,APOA4,9606.ENSP00000265605,9606.ENSP00000350425,0,0,0,0,0.521,0,0,0.052,0.526
ALDH8A1,TMPRSS6,9606.ENSP00000265605,9606.ENSP00000371211,0,0,0,0,0.521,0.057,0,0.075,0.546
ALDH8A1,TTC36,9606.ENSP00000265605,9606.ENSP00000307640,0,0,0,0,0.479,0,0,0.192,0.561
ALDH8A1,RPRD2,9606.ENSP00000265605,9606.ENSP00000358064,0,0,0,0,0,0,0,0.573,0.573
ALDH8A1,HAO2,9606.ENSP00000265605,9606.ENSP00000483507,0.044,0,0,0,0.559,0,0,0.111,0.592
ALDH8A1,XPNPEP2,9606.ENSP00000265605,9606.ENSP00000360147,0.053,0,0,0,0.535,0.152,0,0.08,0.61
ALDH8A1,FTCD,9606.ENSP00000265605,9606.ENSP00000291670,0,0,0,0,0.601,0,0,0.063,0.61
ALDH8A1,PIPOX,9606.ENSP00000265605,9606.ENSP00000317721,0.058,0,0,0,0.584,0,0,0.101,0.616
ALDH8A1,HAAO,9606.ENSP00000265605,9606.ENSP00000294973,0,0,0,0,0.621,0,0,0.058,0.627
ALDH8A1,SLC2A2,9606.ENSP00000265605,9606.ENSP00000323568,0,0,0,0,0.635,0,0,0.092,0.654
ALDH8A1,PAH,9606.ENSP00000265605,9606.ENSP00000448059,0,0,0,0,0.647,0,0,0.065,0.655
ALDH8A1,KMO,9606.ENSP00000265605,9606.ENSP00000355517,0,0,0,0,0.63,0,0,0.122,0.661
ALDH8A1,VCPIP1,9606.ENSP00000265605,9606.ENSP00000309031,0,0,0,0,0,0,0,0.674,0.674
ALDH8A1,HGD,9606.ENSP00000265605,9606.ENSP00000283871,0,0,0,0,0.652,0,0,0.107,0.675
ALDOB,OTC,9606.ENSP00000363988,9606.ENSP00000039007,0,0,0,0,0.387,0,0,0.305,0.556
ALDOB,PYGL,9606.ENSP00000363988,9606.ENSP00000216392,0.051,0,0,0,0.183,0.077,0,0.494,0.589
ALDOB,PCK2,9606.ENSP00000363988,9606.ENSP00000216780,0,0,0,0,0.108,0,0,0.439,0.478
ALDOB,EHHADH,9606.ENSP00000363988,9606.ENSP00000231887,0,0,0,0,0.083,0.169,0,0.406,0.508
ALDOB,RBP1,9606.ENSP00000363988,9606.ENSP00000232219,0,0,0,0,0.063,0.191,0,0.485,0.575
ALDOB,CAT,9606.ENSP00000363988,9606.ENSP00000241052,0,0,0,0,0.065,0.176,0,0.351,0.456
ALDOB,GOT2,9606.ENSP00000363988,9606.ENSP00000245206,0.046,0,0,0,0.094,0,0,0.39,0.426
ALDOB,FABP4,9606.ENSP00000363988,9606.ENSP00000256104,0,0,0,0,0.062,0.331,0,0.135,0.41
ALDOB,BAAT,9606.ENSP00000363988,9606.ENSP00000259407,0.046,0,0,0,0.079,0,0,0.766,0.776
ALDOB,KHK,9606.ENSP00000363988,9606.ENSP00000260599,0,0,0,0,0.109,0,0.9,0.687,0.969
ALDOB,GYS2,9606.ENSP00000363988,9606.ENSP00000261195,0,0,0,0,0.168,0,0,0.48,0.549
ALDOB,SLC27A5,9606.ENSP00000363988,9606.ENSP00000263093,0,0,0,0,0.107,0,0,0.376,0.418
ALDOB,BHMT,9606.ENSP00000363988,9606.ENSP00000274353,0,0,0,0,0.143,0,0,0.391,0.455
ALDOB,QDPR,9606.ENSP00000363988,9606.ENSP00000281243,0,0,0,0,0.062,0.534,0,0.059,0.552
ALDOB,GPD1L,9606.ENSP00000363988,9606.ENSP00000282541,0,0,0,0,0.082,0.056,0,0.396,0.431
ALDOB,HGD,9606.ENSP00000363988,9606.ENSP00000283871,0,0,0,0,0.293,0.212,0,0.048,0.423
ALDOB,FTCD,9606.ENSP00000363988,9606.ENSP00000291670,0,0,0,0,0.268,0,0,0.226,0.409
ALDOB,HK3,9606.ENSP00000363988,9606.ENSP00000292432,0,0,0,0,0.064,0,0.6,0.559,0.82
ALDOB,FABP1,9606.ENSP00000363988,9606.ENSP00000295834,0,0,0,0,0.374,0.191,0,0.335,0.634
ALDOB,FABP5,9606.ENSP00000363988,9606.ENSP00000297258,0,0,0,0,0.062,0.369,0,0.067,0.4
ALDOB,LDHD,9606.ENSP00000363988,9606.ENSP00000300051,0,0,0,0,0.063,0,0,0.416,0.43
ALDOB,GPD1,9606.ENSP00000363988,9606.ENSP00000301149,0,0,0,0,0.187,0.056,0,0.462,0.551
ALDOB,BCKDHB,9606.ENSP00000363988,9606.ENSP00000318351,0.046,0,0,0,0.064,0,0,0.574,0.587
ALDOB,PCK1,9606.ENSP00000363988,9606.ENSP00000319814,0,0,0,0,0.249,0,0,0.492,0.603
ALDOB,PKM,9606.ENSP00000363988,9606.ENSP00000320171,0.125,0.002,0,0,0.202,0,0.8,0.587,0.934
ALDOB,SLC2A2,9606.ENSP00000363988,9606.ENSP00000323568,0.044,0,0,0,0.365,0,0,0.433,0.626
ALDOB,ENO3,9606.ENSP00000363988,9606.ENSP00000324105,0,0,0,0,0.221,0.212,0.6,0.556,0.876
ALDOB,GSTA1,9606.ENSP00000363988,9606.ENSP00000335620,0,0,0,0,0.29,0.243,0,0.069,0.456
ALDOB,CYP3A4,9606.ENSP00000363988,9606.ENSP00000337915,0,0,0,0,0.294,0,0,0.184,0.4
ALDOB,HKDC1,9606.ENSP00000363988,9606.ENSP00000346643,0,0,0,0,0.117,0,0.6,0.561,0.831
ALDOB,APOA4,9606.ENSP00000363988,9606.ENSP00000350425,0,0,0,0,0.468,0,0,0.264,0.592
ALDOB,ECHS1,9606.ENSP00000363988,9606.ENSP00000357535,0,0,0,0,0.088,0.373,0,0.186,0.494
ALDOB,HMGCS2,9606.ENSP00000363988,9606.ENSP00000358414,0,0,0,0,0.192,0,0,0.346,0.449
ALDOB,PHGDH,9606.ENSP00000363988,9606.ENSP00000358417,0,0,0,0,0.062,0.202,0,0.3,0.43
ALDOB,PGM1,9606.ENSP00000363988,9606.ENSP00000360124,0,0,0,0,0.223,0.057,0,0.358,0.488
ALDOB,MAT1A,9606.ENSP00000363988,9606.ENSP00000361287,0,0,0,0,0.145,0.16,0,0.311,0.462
ALDOB,RMDN1,9606.ENSP00000363988,9606.ENSP00000385927,0,0,0,0,0,0.4,0,0,0.4
ALDOB,HADH,9606.ENSP00000363988,9606.ENSP00000474560,0,0,0,0,0.062,0.126,0,0.348,0.419
ALDOB,SELENBP1,9606.ENSP00000363988,9606.ENSP00000397261,0,0,0,0,0.063,0.382,0,0.085,0.423
ALDOB,HAO2,9606.ENSP00000363988,9606.ENSP00000483507,0,0,0,0,0.214,0,0,0.296,0.423
ALDOB,ASPDH,9606.ENSP00000363988,9606.ENSP00000373860,0,0,0,0,0.103,0,0,0.39,0.43
ALDOB,WAS,9606.ENSP00000363988,9606.ENSP00000365891,0,0,0,0,0,0.384,0,0.122,0.436
ALDOB,PC,9606.ENSP00000363988,9606.ENSP00000377532,0,0,0,0,0.063,0,0,0.43,0.443
ALDOB,GSTA2,9606.ENSP00000363988,9606.ENSP00000420168,0,0,0,0,0.231,0.243,0,0.134,0.451
ALDOB,B4GALT1,9606.ENSP00000363988,9606.ENSP00000369055,0,0,0,0,0.062,0,0,0.521,0.531
ALDOB,PCCA,9606.ENSP00000363988,9606.ENSP00000365462,0,0,0,0,0.064,0.533,0,0.047,0.547
ALDOB,GMPS,9606.ENSP00000363988,9606.ENSP00000419851,0,0,0,0,0.065,0.534,0,0.049,0.549
ALDOB,HK1,9606.ENSP00000363988,9606.ENSP00000402103,0,0,0,0,0.064,0,0.6,0.467,0.783
ALDOB,GLYCTK,9606.ENSP00000363988,9606.ENSP00000389175,0,0,0,0,0.09,0,0.8,0.275,0.856
ALDOB,G6PD,9606.ENSP00000363988,9606.ENSP00000377192,0,0,0,0,0.072,0,0.8,0.418,0.882
ALDOB,DAK,9606.ENSP00000363988,9606.ENSP00000378360,0,0,0,0,0.073,0,0.9,0.598,0.959
ALDOB,PFKP,9606.ENSP00000363988,9606.ENSP00000370517,0,0,0,0,0.183,0,0.9,0.664,0.97
ALDOB,FBP2,9606.ENSP00000363988,9606.ENSP00000364486,0,0,0,0,0.152,0.181,0.9,0.638,0.971
ALDOB,FBP1,9606.ENSP00000363988,9606.ENSP00000408025,0,0,0,0,0.182,0.181,0.9,0.679,0.975
ALG1,COG1,9606.ENSP00000262374,9606.ENSP00000299886,0,0,0,0,0.056,0,0,0.392,0.401
ALG1,GYG2,9606.ENSP00000262374,9606.ENSP00000370555,0,0,0,0,0.064,0.275,0,0.231,0.433
ALG1,B4GALT1,9606.ENSP00000262374,9606.ENSP00000369055,0,0,0,0,0,0,0,0.479,0.479
ALG1,PGM1,9606.ENSP00000262374,9606.ENSP00000360124,0,0,0,0,0.109,0.077,0,0.426,0.487
ALG1,MAN1B1,9606.ENSP00000262374,9606.ENSP00000360645,0,0,0,0,0.072,0,0,0.473,0.49
ALOX5,HMOX1,9606.ENSP00000363512,9606.ENSP00000216117,0,0,0,0,0.06,0,0,0.404,0.415
ALOX5,PSMD10,9606.ENSP00000363512,9606.ENSP00000217958,0,0,0,0,0,0,0,0.561,0.561
ALOX5,CYP4F2,9606.ENSP00000363512,9606.ENSP00000221700,0,0,0,0,0,0,0.9,0.252,0.922
ALOX5,MPO,9606.ENSP00000363512,9606.ENSP00000225275,0,0,0,0,0.121,0,0,0.478,0.522
ALOX5,CAT,9606.ENSP00000363512,9606.ENSP00000241052,0,0,0,0,0,0,0,0.411,0.411
ALOX5,PTGIS,9606.ENSP00000363512,9606.ENSP00000244043,0,0,0,0,0,0,0,0.451,0.451
ALOX5,APOE,9606.ENSP00000363512,9606.ENSP00000252486,0,0,0,0,0,0,0,0.413,0.412
ALOX5,CYP2C9,9606.ENSP00000363512,9606.ENSP00000260682,0,0,0,0,0,0,0.9,0.335,0.93
ALOX5,IL18,9606.ENSP00000363512,9606.ENSP00000280357,0,0,0,0,0,0,0.9,0.325,0.929
ALOX5,VCAM1,9606.ENSP00000363512,9606.ENSP00000294728,0,0,0,0,0.062,0,0,0.392,0.405
ALOX5,NCSTN,9606.ENSP00000363512,9606.ENSP00000294785,0,0,0,0,0,0.233,0,0.259,0.407
ALOX5,HPGD,9606.ENSP00000363512,9606.ENSP00000296522,0,0,0,0,0.063,0,0,0.532,0.542
ALOX5,CYP4A11,9606.ENSP00000363512,9606.ENSP00000311095,0,0,0,0,0,0,0.9,0.182,0.914
ALOX5,CYP2B6,9606.ENSP00000363512,9606.ENSP00000324648,0,0,0,0,0,0,0.9,0.149,0.911
ALOX5,PTGS1,9606.ENSP00000363512,9606.ENSP00000354612,0,0,0,0,0.096,0,0.9,0.728,0.973
ALOX5,MNDA,9606.ENSP00000363512,9606.ENSP00000357123,0,0,0,0,0.419,0,0,0.046,0.422
ALOX5,CYP2J2,9606.ENSP00000363512,9606.ENSP00000360247,0,0,0,0,0,0,0.9,0.398,0.937
ALOX5,CYP2C8,9606.ENSP00000363512,9606.ENSP00000360317,0,0,0,0,0,0,0.9,0.246,0.921
ALOX5,CYP4A22,9606.ENSP00000363512,9606.ENSP00000360958,0,0,0,0,0,0,0.9,0.195,0.916
ALOX5,MMP9,9606.ENSP00000363512,9606.ENSP00000361405,0,0,0,0,0.159,0,0,0.459,0.526
ALOX5,SYK,9606.ENSP00000363512,9606.ENSP00000364907,0,0,0,0,0.261,0,0,0.254,0.426
ALOX5,HCK,9606.ENSP00000363512,9606.ENSP00000444986,0,0,0,0,0.535,0.27,0,0.066,0.655
ALOX5,CYP2E1,9606.ENSP00000363512,9606.ENSP00000440689,0,0,0,0,0,0,0.9,0.209,0.917
ALYREF,SNRPD3,9606.ENSP00000421592,9606.ENSP00000215829,0,0,0,0,0.711,0.344,0,0.24,0.843
ALYREF,PHF5A,9606.ENSP00000421592,9606.ENSP00000216252,0,0,0,0,0.411,0.117,0,0.112,0.497
ALYREF,PAPOLA,9606.ENSP00000421592,9606.ENSP00000216277,0,0,0,0,0.077,0,0.6,0.315,0.725
ALYREF,PABPN1,9606.ENSP00000421592,9606.ENSP00000216727,0,0,0,0,0.642,0.248,0.6,0.634,0.955
ALYREF,PNN,9606.ENSP00000421592,9606.ENSP00000216832,0,0,0,0,0.098,0,0,0.504,0.533
ALYREF,CSTF1,9606.ENSP00000421592,9606.ENSP00000217109,0,0,0,0,0.234,0,0.6,0.084,0.695
ALYREF,EHD4,9606.ENSP00000421592,9606.ENSP00000220325,0,0,0,0,0,0,0,0.423,0.423
ALYREF,HNRNPL,9606.ENSP00000421592,9606.ENSP00000221419,0,0,0,0,0.944,0.129,0,0.26,0.96
ALYREF,FBL,9606.ENSP00000421592,9606.ENSP00000221801,0,0,0,0,0.75,0,0,0.226,0.798
ALYREF,DDX5,9606.ENSP00000421592,9606.ENSP00000225792,0,0,0,0,0.176,0.453,0,0.325,0.669
ALYREF,PRPF19,9606.ENSP00000421592,9606.ENSP00000227524,0,0,0,0,0.797,0.349,0,0.365,0.908
ALYREF,NUP107,9606.ENSP00000421592,9606.ENSP00000229179,0,0,0,0,0.103,0,0.6,0.337,0.741
ALYREF,SRSF9,9606.ENSP00000421592,9606.ENSP00000229390,0,0,0,0,0.306,0.212,0.8,0.257,0.907
ALYREF,SKIV2L2,9606.ENSP00000421592,9606.ENSP00000230640,0,0,0,0,0.12,0.354,0,0.577,0.738
ALYREF,NUP155,9606.ENSP00000421592,9606.ENSP00000231498,0,0,0,0,0.104,0.244,0.6,0.116,0.728
ALYREF,CPSF3,9606.ENSP00000421592,9606.ENSP00000238112,0,0,0,0,0.185,0.152,0.6,0.258,0.767
ALYREF,DDX39A,9606.ENSP00000421592,9606.ENSP00000242776,0,0,0,0,0.36,0.775,0.6,0.881,0.992
ALYREF,SNRPA,9606.ENSP00000421592,9606.ENSP00000243563,0,0,0,0,0.341,0,0,0.204,0.453
ALYREF,SRSF6,9606.ENSP00000421592,9606.ENSP00000244020,0,0,0,0,0.476,0.343,0.8,0.36,0.95
ALYREF,THOC2,9606.ENSP00000421592,9606.ENSP00000245838,0,0,0,0,0.508,0.96,0.9,0.877,0.999
ALYREF,SYMPK,9606.ENSP00000421592,9606.ENSP00000245934,0,0,0,0,0.137,0,0.6,0.11,0.666
ALYREF,RALY,9606.ENSP00000421592,9606.ENSP00000246194,0,0,0,0,0.334,0.183,0,0.199,0.526
ALYREF,SNRPA1,9606.ENSP00000421592,9606.ENSP00000254193,0,0,0,0,0.318,0.145,0,0.184,0.483
ALYREF,NUP210,9606.ENSP00000421592,9606.ENSP00000254508,0,0,0,0,0.064,0,0.6,0.134,0.647
ALYREF,DDX56,9606.ENSP00000421592,9606.ENSP00000258772,0,0,0,0,0.133,0.213,0,0.263,0.453
ALYREF,NUP133,9606.ENSP00000421592,9606.ENSP00000261396,0,0,0,0,0.154,0.056,0.6,0.087,0.669
ALYREF,DDX18,9606.ENSP00000421592,9606.ENSP00000263239,0,0,0,0,0.119,0.213,0,0.223,0.415
ALYREF,NSUN2,9606.ENSP00000421592,9606.ENSP00000264670,0,0,0,0,0.082,0.101,0,0.758,0.783
ALYREF,NUP54,9606.ENSP00000421592,9606.ENSP00000264883,0,0,0,0,0.218,0,0.6,0.118,0.7
ALYREF,THOC3,9606.ENSP00000421592,9606.ENSP00000265097,0,0,0,0,0.115,0.738,0.9,0.822,0.995
ALYREF,XPO5,9606.ENSP00000421592,9606.ENSP00000265351,0,0,0,0,0.125,0.056,0,0.421,0.48
ALYREF,EXOSC7,9606.ENSP00000421592,9606.ENSP00000265564,0,0,0,0,0.627,0.077,0,0,0.641
ALYREF,EIF4H,9606.ENSP00000421592,9606.ENSP00000265753,0,0,0,0,0.289,0.183,0,0.24,0.52
ALYREF,HNRNPH3,9606.ENSP00000421592,9606.ENSP00000265866,0,0,0,0,0.64,0.153,0,0.11,0.705
ALYREF,CPSF6,9606.ENSP00000421592,9606.ENSP00000266679,0,0,0,0,0.618,0,0,0.417,0.768
ALYREF,EIF4A3,9606.ENSP00000421592,9606.ENSP00000269349,0,0,0,0,0.399,0.555,0.8,0.953,0.997
ALYREF,SF3B4,9606.ENSP00000421592,9606.ENSP00000271628,0,0,0,0,0.125,0.271,0,0.412,0.593
ALYREF,NONO,9606.ENSP00000421592,9606.ENSP00000276079,0,0,0,0,0.595,0,0,0.248,0.682
ALYREF,HNRNPU,9606.ENSP00000421592,9606.ENSP00000283179,0,0,0,0,0.639,0.322,0,0.382,0.836
ALYREF,RANBP2,9606.ENSP00000421592,9606.ENSP00000283195,0,0,0,0,0.134,0.212,0.6,0.288,0.779
