"GeneName","Type"
"USP39","N"
"UBE2Z","N"
"TNPO2","N"
"SET","N"
"SRSF5","N"
"TNPO1","N"
"WBSCR16","N"
"TNPO3","N"
"UPF2","N"
"SRSF7","N"
"UPF1","N"
"UBR5","N"
"SRSF2","N"
"PARP4","N"
"U2AF2","N"
"NAA15","N"
"XRCC1","N"
"TMPO","N"
"UIMC1","N"
"WHSC1","N"
"TSNAX","N"
"USP24","N"
"SPTBN2","N"
"WRNIP1","N"
"VBP1","N"
"ZFPL1","N"
"U2SURP","N"
"SPG21","N"
"WASL","N"
"PVRL2","N"
"UBL7","N"
"ZPR1","N"
"SVIL","N"
"DOCK9","N"
"PLBD2","N"
"UPB1","N"
"PLBD1","N"
"SCP2","N"
"SRSF6","N"
"ATP11C","N"
"UGT2B4","N"
"PEX11G","N"
"PEX11B","N"
"PEX6","N"
"SUGCT","N"
"SLC27A2","N"
"PEX1","N"
"TFB2M","N"
"PXMP4","N"
"PEX16","N"
"SPG20","N"
"SCAMP2","N"
"TTC36","N"
"SARDH","N"
"TTPA","N"
"TRA2B","N"
"TAF15","N"
"THRAP3","N"
"SRP9","N"
"TREX1","N"
"UGT2B17","N"
"IFI30","N"
"UGT2B15","N"
"RDH16","N"
"OCIAD2","N"
"PGLYRP1","N"
"TBC1D4","N"
"SGTA","N"
"LSM1","N"
"TROVE2","N"
"ZC3HAV1","N"
"KIAA0391","N"
"TSN","N"
"XRN2","N"
"TDRKH","N"
"YLPM1","N"
"TRMT10C","N"
"TOMM34","N"
"NUDCD1","N"
"MAPRE1","N"
"PDE4DIP","N"
"DHRS1","N"
"AKR7A3","N"
"SAT2","N"
"RMDN1","N"
"TP53BP2","N"
"PON3","N"
"TOMM40","N"
"TMEM106B","N"
"OPA1","N"
"VPS26A","N"
"KLC4","N"
"ITM2B","N"
"KIF5B","N"
"SYNJ1","N"
"SRM","N"
"UROC1","N"
"YKT6","N"
"UBE2O","N"
"UBQLN2","N"
"UBE2H","N"
"SEL1L","N"
"TBCD","N"
"SUPV3L1","N"
"WBP2","N"
"UBAP2L","N"
"SELENBP1","N"
"VPS13C","N"
"TTC27","N"
"ZNF207","N"
"RABGAP1","N"
"TOP3B","N"
"DFNA5","N"
"MYO7A","N"
"PHYHD1","N"
"ZADH2","N"
"TRMT1","N"
"NUDCD3","N"
"WDR61","N"
"HLA-DQB1","N"
"FKBP11","N"
"UBTF","N"
"SART3","N"
"TCEB2","N"
"RPRD2","N"
"WDR82","N"
"SLC39A9","N"
"SRSF9","N"
"SRSF10","N"
"PTBP3","N"
"FHR2","N"
"SKIV2L","N"
"ZW10","N"
"USP19","N"
"PRG4","N"
"PXDN","N"
"TNXB","N"
"PDCL3","N"
"XPOT","N"
"VPRBP","N"
"WDR26","N"
"CYP4F11","N"
"FGGY","N"
"REPIN1","N"
"TAPBP","N"
"VPS52","N"
"RSL1D1","N"
"TXLNA","N"
"RBM15","N"
"WBP11","N"
"YTHDF3","N"
"ZRANB2","N"
"UBQLN4","N"
"GPR180","N"
"YME1L1","N"
"MFF","N"
"TOMM22","N"
"SNX8","N"
"PDCD5","N"
"SH3GLB2","N"
"MOB4","N"
"IFT27","N"
"DYNLT3","N"
"RAB3GAP1","N"
"RAB3GAP2","N"
"ZC3H15","N"
"VIL1","N"
"HRSP12","N"
"PUS1","N"
"TRMT112","N"
"GID8","N"
"TM9SF1","N"
"ZNF638","N"
"RHOG","N"
"SERPINB1","N"
"QRICH1","N"
"RBM12","N"
"GNS","N"
"UXS1","N"
"NT5C3A","N"
"PDPR","N"
"SEC23B","N"
"SYNRG","N"
"KDELR1","N"
"UEVLD","N"
"LPGAT1","N"
"PTPRF","N"
"SLC4A1","N"
"PPP1R18","N"
"STBD1","N"
"HGNC:9982","N"
"USP4","N"
"TIMM50","N"
"VPS28","N"
"SNX12","N"
"RBM26","N"
"PDCD10","N"
"LILRB5","N"
"TAP2","N"
"TAP1","N"
"WDR11","N"
"HLA-DMA","N"
"U2AFBP","N"
"SLTM","N"
"RPMS17","N"
"TTC1","N"
"SYVN1","N"
"TPD52","N"
"SEPHS1","N"
"PTPRCAP","N"
"RCN2","N"
"PTPRK","N"
"ZC3H7A","N"
"TIMM9","N"
"PLP2","N"
"UACA","N"
"PACSIN3","N"
"SRP68","N"
"MRC2","N"
"TOR1AIP1","N"
"NDUFAF2","N"
"SCRN1","N"
"TBCB","N"
"WASF2","N"
"WDR81","N"
"TRNT1","N"
"PTCD3","N"
"TBC1D13","N"
"SLC4A1AP","N"
"SCYL2","N"
"PDXDC1","N"
"THUMPD1","N"
"PIR","N"
"SRP72","N"
"TTC38","N"
"TRIP4","N"
"TMEM33","N"
"TJP3","N"
"SHPK","N"
"SFXN5","N"
"ZCCHC8","N"
"UBLCP1","N"
"TBCE","N"
"RMDN2","N"
"RABGAP1L","N"
"SDPR","N"
"SRP19","N"
"TTC37","N"
"TSPAN9","N"
"ZFYVE16","N"
"YIPF3","N"
"ZNF787","N"
"RARRES2","N"
"SLC35E1","N"
"TIPRL","N"
"TRIM3","N"
"UGT2B7","N"
"VSIG4","N"
"XRCC6","N"
"ZFR","N"
