DrugID,Indication
DB00297,"As an implant, bupivacaine is indicated in adults for placement into the surgical site to produce postsurgical analgesia for up to 24 hours following open inguinal hernia repair.[L41270]
Bupivacaine, in liposome suspension, is indicated in patients aged 6 years and older for single-dose infiltration to produce postsurgical local analgesia. In adults, it is also indicated as an interscalene brachial plexus nerve block to produce postsurgical regional analgesia.[L40418]  
Bupivacaine, in combination with [meloxicam], is indicated for postsurgical analgesia in adult patients for up to 72 hours following foot and ankle, small-to-medium open abdominal, and lower extremity total joint arthroplasty surgical procedures.[L34100]
Bupivacaine, alone or in combination with [epinephrine], is indicated in adults for the production of local or regional anesthesia or analgesia for surgery, dental and oral surgery procedures, diagnostic and therapeutic procedures, and for obstetrical procedures. Specific concentrations and presentations are recommended for each type of block indicated to produce local or regional anesthesia or analgesia. Finally, its use is not indicated in all blocks given clinically significant risks associated with use.[L30533]  
"
DB00298,Used in the treatment of iatrogenically induced mydriasis produced by adrenergic (phenylephrine) or parasympatholytic (tropicamide) agents used in certain eye examinations.
DB00299,Used to treat recurrent cold sores on the lips and face from various herpesvirus invections.
DB00300,"Tenofovir disoproxil is indicated in combination with other antiretroviral agents for the treatment of HIV-1 infection in patients ≥2 years old and weighing ≥10 kg.[L12600] It is also indicated for the treatment of chronic hepatitis B in patients ≥2 years old and weighing ≥10 kg.[L12600]
Tenofovir disoproxil is also an ingredient in several combination products, all of which are indicated either alone or in combination with other antiretrovirals for the treatment of HIV-1 infection.[L9848,L4385,L9842,L41010,L9587,L41015,L9833]
In addition, tenofovir disoproxil is available in combination with [emtricitabine] (under the brand name Truvada) for use as pre-exposure prophylaxis (PrEP) in at-risk adults and adolescents weighing ≥ 35kg to reduce the risk of sexually-acquired HIV-1 infection.[L9833]"
DB00301,Used to treat bacterial infection by susceptible microorganisms.
DB00302,"Taken orally, tranexamic acid is indicated for the treatment of hereditary angioedema,[L31883] cyclic heavy menstrual bleeding in premenopausal females,[L31858] and other instances of significant bleeding in the context of hyperfibrinolysis.[L31883] Given intravenously, tranexamic acid is indicated for short-term use (2-8 days) in patients with hemophilia to prevent or reduce bleeding following tooth extraction.[L31853]"
DB00303,"Ertapenem is indicated to treat the following moderate to severe infections caused by susceptible bacteria in adult and pediatric patients (three months of age and older):[L14339,L44416]
- Complicated intra-abdominal infections.[L14339,L44416]
- Complicated skin and skin structure infections, including diabetic foot infections without osteomyelitis.[L14339,L44416]
- Community-acquired pneumonia.[L14339,L44416]
- Complicated urinary tract infections, including pyelonephritis.[L14339]
- Acute pelvic infections, including postpartum endomyometritis, septic abortion and post-surgical gynecologic infections.[L14339]
- Acute gynecological infections.[L44416]
Ertapenem is also used in adults for the prophylaxis of surgical site infection following elective colorectal surgery.[L14339,L44416]"
DB00304,"Oral desogestrel is used in combination with [ethinylestradiol] as a contraceptive agent for the prevention of pregnancy.[FDA label]
Desogestrel is part of the combined oral contraceptives that contain a mix of estrogen and progestin which inhibit ovulation.[L5698]"
DB00305,"For treatment of malignant neoplasm of lip, oral cavity, pharynx, digestive organs, peritoneum, female breast, and urinary bladder. Also used as an adjunct to ab externo glaucoma surgery. Mitomycin is also indicated as a pyelocalyceal solution for the treatment of adults with low-grade upper tract urothelial cancer (LG-UTUC).[L12867]"
DB00306,For use as a sedative and hypnotic.
DB00307,Used orally for the treatment of skin manifestations of cutaneous T-cell lymphoma (CTCL) in patients who are refractory to at least one prior systemic therapy. Also used topically for the treatment of skin lesions in early (stage IA and IB) CTCL in patients who experience refractory or persistent disease with the use of other therapies or are intolerant of other therapies.
DB00308,Indicated for the rapid conversion of atrial fibrillation or atrial flutter of recent onset to sinus rhythm.
DB00309,"For the treatment of acute leukaemia, malignant lymphoma, Hodgkin's disease, acute erythraemia and acute panmyelosis"
DB00310,"Chlorthalidone is indicated in the management of hypertension either as the sole therapeutic agent or to enhance the effect of other antihypertensive drugs in the more severe forms of hypertension.
Chlorthalidone is indicated as adjunctive therapy in edema associated with congestive heart failure, hepatic cirrhosis, and corticosteroid and estrogen therapy.
Chlorthalidone has also been found useful in edema due to various forms of renal dysfunction, such as nephrotic syndrome, acute glomerulonephritis, and chronic renal failure."
DB00311,"For use in the treatment of duodenal ulcers, as a diuretic, and in the treatment of glaucoma, and may also be useful in the treatment of seizures associated with epilepsy."
DB00312,For the short-term treatment of insomnia.
DB00313,"**Indicated** for:[Label] 
1) Use as monotherapy or adjunctive therapy in the management of complex partial seizures and simple or complex absence seizures. 
2) Adjunctive therapy in the management of multiple seizure types that include absence seizures. 
3) Prophylaxis of migraine headaches.
4) Acute management of mania associated with bipolar disorder.

**Off-label** uses include:
 
1) Maintenance therapy for bipolar disorder.[A177919]
2) Treatment for acute bipolar depression.[A177928,A177931,A177934]
3) Emergency treatment of status epilepticus.[A177955]"
DB00314,Used in the treatment of tuberculosis in combination with other drugs.
DB00315,Zolmitriptan is indicated for the acute treatment of migraine with or without auras in patients aged 18 and over.[L12978]
DB00316,"In general, acetaminophen is used for the treatment of mild to moderate pain and reduction of fever.[F4124] It is available over the counter in various forms, the most common being oral forms.
Acetaminophen _injection_ is indicated for the management of mild to moderate pain, the management of moderate to severe pain with adjunctive opioid analgesics, and the reduction of fever.[Label]
Because of its low risk of causing allergic reactions, this drug can be administered in patients who are intolerant to salicylates and those with allergic tendencies, including bronchial asthmatics.[F4124] Specific dosing guidelines should be followed when administering acetaminophen to children.[L5780]"
DB00317,For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.
DB00318,"Codeine sulfate is a form of this drug that is commonly used. It is available in tablet form [FDA label] and indicated for the relief of mild to moderately severe pain, where the use of an opioid analgesic is appropriate [FDA label].
The solution form is used by itself or combined in a syrup with other drugs and is used as a cough suppressant in adults aged 18 and above [L5521], [L5524]. "
DB00319,For the treatment of polymicrobial infections.
DB00320,"Dihydroergotamine (DHE) in all formulations is indicated for the acute treatment of migraine with or without aura in adults.[L38459, L38464, L38469] As an injection, DHE is also indicated for the acute treatment of cluster headache episodes.[L38459]
DHE is not indicated for migraine prevention or the management of hemiplegic or basilar migraine.[L38459, L38464, L38469]"
DB00321,"This drug in indicated for the following conditions [FDA label]:
Major depressive disorder in adults
Management of neuropathic pain in adults
Prophylactic treatment of chronic tension-type headache (CTTH) in adults
Prophylactic treatment of migraine in adults
Treatment of nocturnal enuresis in children aged 6 years and above when organic pathology, including spina bifida and related disorders, have been excluded and no response has been achieved to all other non-drug and drug treatments, including antispasmodics and vasopressin-related products. This product should only be prescribed by a healthcare professional with expertise in the management of persistent enuresis [FDA label]
Off-label uses: irritable bowel syndrome, sleep disorders, diabetic neuropathy, agitation, fibromyalgia, and insomnia "
DB00322,"For palliative management of gastrointestinal adenocarcinoma metastatic to the liver, when given by continuous regional intra-arterial infusion in carefully selected patients who are considered incurable by surgery or other means. Also for the palliative management of liver cancer (usually administered by hepatic intra-arterial infusion)."
DB00323,Used as an adjunct to levodopa/carbidopa therapy for the symptomatic treatment of Parkinson's Disease. This drug is generally reserved for patients with parkinsonian syndrome receiving levodopa/carbidopa who are experiencing symptom fluctuations and are not responding adequately to or are not candidates for other adjunctive therapies.
DB00324,"For the ophthalmic treatment of corticosteroid-responsive inflammation of the palpebral and bulbar conjunctiva, cornea and anterior segment of the globe."
DB00325,"For immediate reduction of blood pressure of patients in hypertensive crises, reduce bleeding during surgery, and for the treatment of acute congestive heart failure"
DB00326,"For treatment of mild hypocalcemia due to neonatal tetany, tetany due to parathyroid deficiency or vitamin D deficiency, and alkalosis, as prophylaxis of hypocalcemia during exchange transfusions, in the treatment of intestinal malabsorption, and to replenish electrolytes."
DB00327,"Hydromorphone is indicated for the management of moderate to severe acute pain and severe chronic pain. Due to its addictive potential and overdose risk, hydromorphone is only prescribed when other first-line treatments have failed.[A176468]
The WHO has proposed a three-step ladder for the management of pain in which it is suggested to start with a non-opioid medication followed by addition of weak opioids to the non-opioid treatment for moderate pain and finishing in the use of strong opioids such as hydromorphone along with the existing regimen for cases of severe pain.[A176471]
Off-label, hydromorphone can be administered for the suppression of refractory cough.[A176468]"
DB00328,"Oral indometacin is indicated for symptomatic management of moderate to severe rheumatoid arthritis including acute flares of chronic disease, moderate to severe ankylosing spondylitis, moderate to severe osteoarthritis, acute painful shoulder (bursitis and/or tendinitis) and acute gouty arthritis.[A177871,L6778]
 
Intravenous indometacin is indicated to induce closure of a hemodynamically significant patent ductus arteriosus in premature infants weighing between 500 and 1750 g when after 48 hours usual medical management (e.g., fluid restriction, diuretics, digitalis, respiratory support, etc.) is ineffective.[L10553]"
DB00330,"Ethambutol is indicated in combination with other anti-tuberculosis drugs in the treatment of pulmonary tuberculosis.[L31663] Ethambutol is commonly used in combination with [isoniazid], [rifampin], and [pyrazinamide].[L31743]"
DB00331,"**Metformin immediate-release formulations**
 
Metformin is indicated as an adjunct to diet and exercise to improve glycemic control in adults and pediatric patients ≥10 years old with type 2 diabetes mellitus.[L40243]
**Metformin extended-release tablet (XR)**
The extended-release formulation of metformin is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Safety in children has not been determined to this date.[L12207]
**Metformin combination products**
Metformin is a component of a variety of combination products with other anti-diabetic agents. It is indicated, along with diet and exercise, to improve glycemic control in adult patients with type 2 diabetes mellitus in combination with DPP-4 inhibitors ([sitagliptin], [linagliptin], [alogliptin], or [saxagliptin]),[L11479,L40248,L40253,L40258,L40263] in combination with SGLT2 inhibitors ([canagliflozin], [empagliflozin], [ertugliflozin], or [dapagliflozin]),[L11479,L30503,L1134,L13679,L38729] or in combination with [pioglitazone].[L11419]"
DB00332,"Inhaled ipratropium is indicated in combination with inhaled beta-agonist systemic corticosteroids for the management of severe exacerbations of asthma flares requiring treatment.[A176939]
Asthma exacerbations are characterized by a progressive increase in one or more of asthma symptoms accompanied by a decrease in expiratory flow.[L5900]
As a single agent, ipratropium was indicated for the symptomatic relief of rhinorrhea associated with the common cold or seasonal allergic rhinitis for patients 5 years or older. It does not alleviate nasal congestion nor sneezing.[FDA label]
Rhinorrhea refers to recurrent or chronic watery nasal discharge. This condition is debilitating and its pathogenesis and etiology is complex and not very well understood presenting very substantial cost burden.[L5903]
Additionally, ipratropium is indicated as a bronchodilator for maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease including chronic bronchitis and emphysema.[FDA label]
The chronic obstructive pulmonary disease includes a large number of conditions characterized by breathlessness. As this includes several conditions, the etiology, symptoms, and treatments are diverse.[L5906]
Ipratropium has also been studied to be used for the treatment of sialorrhea.[A176942]
Sialorrhea is a common symptom that accompanies different neurologic conditions and it is characterized by drooling or excessive salivation.[A176963]"
DB00333,"Methadone is indicated for the management of pain severe enough to require an opioid analgesic and for which alternative treatment options are inadequate. It's recommended that use is reserved for use in patients for whom alternative treatment options (eg, nonopioid analgesics, opioid combination products) are ineffective, not tolerated, or would be otherwise inadequate to provide sufficient management of pain.[F4688]
Methadone is also indicated for detoxification treatment of opioid addiction (heroin or other morphine-like drugs), and for maintenance substitution treatment for opioid dependence in adults in conjunction with appropriate social and medical services.[F4685,F4691]"
DB00334,"Olanzapine was initially used orally and intramuscularly for the chronic treatment of schizophrenia in patients over 13 years old and other psychiatric disorders such as bipolar I disorder including mixed or manic episodes.[A177014] 
Olanzapine is also indicated, in combination with lithium or valproate for the short-term treatment of acute manic or mixed episodes associated with bipolar I disorder in adults.[FDA label]
As well, olanzapine is indicated, in combination with fluoxetine for the treatment of episodes of depression associated with bipolar disorder type 1 and treatment-resistant depression in patients over 10 years old.[A177014]
Olanzapine is also approved for the management of psychomotor agitation associated with schizophrenia and bipolar I mania.[FDA label]
Schizophrenia is a complex biochemical brain disorder that affects the person's ability to differentiate reality. It is usually observed as the presence of delusions, hallucinations, social withdrawal and disturbed thinking.[L5936]
Bipolar disorder is a mental health condition defined by periods of extreme mood disturbances. It is categorized in different types from which type 1 is known to involve episodes of severe mania and often depression while type 2 presents less severe forms of mania.[L5939]
Olanzapine is also indicated in combination with [samidorphan] for the treatment of bipolar I disorder, either as an adjunct to lithium or valproate or as monotherapy for the acute treatment of manic or mixed episodes or as maintenance therapy, and for the treatment of schizophrenia in adults.[L34359]"
DB00335,"**Indicated** for:[label]
1) Management of hypertension alone and in combination with other antihypertensives.
2) Management of angina pectoris associated with coronary atherosclerosis.
3) Management of acute myocardial infarction in hemodynamically stable patients with a heart rate greater than 50 beats per minutes and a systolic blood pressure above 100 mmHg.
**Off-label** uses include:
1) Secondary prevention of myocardial infarction.[A178156]
2) Management of heart failure.[A178153]
3) Management of atrial fibrillation.[A178141]
4) Management of supraventricular tachycardia.[A178162]
5) Management of ventricular arrythmias such as congenital long-QT and arrhythmogenic right ventricular cardiomyopathy.[A178168]
6) Management of symptomatic thyrotoxicosis in combination with [methimazole].[A178147]
7) Prophylaxis of migraine headaches.[A178171]
8) Management of alcohol withdrawal.[A178174,A178177]"
DB00336,"For the treatment of bacterial skin infections including pyodermas, infected dermatoses and infections of cuts, wounds, burns and ulcers due to susceptible organisms."
DB00337,For treatment of mild to moderate atopic dermatitis.
DB00338,"Omeprazole, according to the FDA label [FDA label] is a proton pump inhibitor (PPI) used for the following purposes:
• Treatment of active duodenal ulcer in adults 
• Eradication of Helicobacter pylori to reduce the risk of duodenal ulcer
recurrence in adults 
• Treatment of active benign gastric ulcer in adults 
• Treatment of symptomatic gastroesophageal reflux disease (GERD) in
patients 1 year of age and older 
• Treatment of erosive esophagitis (EE) due to acid-mediated GERD in
patients 1 month of age and older 
• Maintenance of healing of EE due to acid-mediated GERD in patients 1
year of age and older 
• Pathologic hypersecretory conditions in adults"
DB00339,For the initial treatment of active tuberculosis in adults and children when combined with other antituberculous agents.
DB00340,Used for the symptomatic treatment of parkinsonism.
DB00341,"**Seasonal Allergic Rhinitis**: Indicated for the relief of symptoms associated with seasonal allergic rhinitis caused by allergens such as ragweed, grass and tree pollens in adults and children 2 years of age and above. Symptoms treated effectively include sneezing, rhinorrhea, nasal pruritus, ocular pruritus, tearing, and redness of the eyes [FDA label]. 
**Perennial allergic rhinitis**: This drug is indicated for the relief of symptoms associated with perennial allergic rhinitis due to allergens including dust mites, animal dander, and molds in adults and children 6 months of age and older. Symptoms treated effectively include sneezing, rhinorrhea, postnasal discharge, nasal pruritus, ocular pruritus, and tearing [FDA label]. 
**Chronic urticaria**: Cetirizine is indicated for the treatment of the uncomplicated skin manifestations of chronic idiopathic urticaria in adults and children 6 months of age and older. It markedly reduces the occurrence, severity, and duration of hives and significantly reduces pruritus [FDA label]."
DB00342,"For the treatment of allergic rhinitis, hay fever, and allergic skin disorders."
DB00343,"**Oral**
Indicated for the management of hypertension, to lower blood pressure, alone or in combination with other antihypertensive agents.[L10556]
Indicated for use to improve exercise tolerance in patients with chronic stable angina.[L10556]
Indicated for the management of variant angina (Prinzmetal's angina).[L6298]
**Intravenous**
Indicated for the short-term management of atrial fibrillation or atrial flutter for temporary control of rapid ventricular rate.[L6292]
Indicated for the rapid conversion of paroxysmal supraventricular tachycardias (PSVT) to sinus rhythm. This includes AV nodal reentrant tachycardias and reciprocating tachycardias associated with an extranodal accessory pathway such as the WPW syndrome or short PR syndrome.[L6292]
**Off-label**
Indicated for off-label uses in anal fissures (as topical formulation), migraine prophylaxis, cramps in lower leg related to rest, pulmonary hypertension,[L6289] idiopathic dilated cardiomyopathy, and proteinuria associated with diabetic nephropathy.[L6298]"
DB00344,For the treatment of depression. 
DB00345,Used to measure effective renal plasma flow (ERPF) and to determine the functional capacity of the tubular excretory mechanism.
DB00346,Alfuzosin is used to treat the signs and symptoms of benign prostatic hyperplasia (BPH).[L9251] 
DB00347,Used in the control of absence (petit mal) seizures that are refractory to treatment with other medications.
DB00348,Used as an adjunct to dietary restriction of tyrosine and phenylalanine in the treatment of hereditary tyrosinemia type 1.
DB00349,"For treatment and management of epilepsy and seizures associated with Lennox-Gastaut syndrome, a difficult-to-treat form of childhood epilepsy. "
DB00350,For the treatment of severe hypertension and in the topical treatment (regrowth) of androgenic alopecia in males and females and stabilisation of hair loss in patients with androgenic alopecia.
DB00351,"For the treatment of anorexia, cachexia, or an unexplained, significant weight loss in patients with a diagnosis of acquired immunodeficiency syndrome (AIDS). Also used for the palliative management of recurrent, inoperable, or metastatic breast cancer, endometrial cancer, and prostate cancer in Canada and some other countries."
DB00352,For remission induction and remission consolidation treatment of acute nonlymphocytic leukemias.
DB00353,For the prevention and control of excessive bleeding following vaginal childbirth
DB00354,"For prevention and treatment of nausea, vomiting, and dizziness associated with motion sickness and vertigo (dizziness caused by other medical problems)."
DB00355,"For the treatment of the following infections caused by susceptible gram-negative microorganisms: urinary tract infections, lower respiratory tract infections, septicemia, skin and skin-structure infections, intra-abdominal infections, and gynecologic infections."
DB00356,For the relief of discomfort associated with acute painful musculoskeletal conditions.
DB00357,"For the suppression of adrenal function in selected patients with Cushing's syndrome, malignant neoplasm of the female breast, and carcinoma in situ of the breast."
DB00358,"Mefloquine is indicated for the treatment of mild to moderate cases of malaria caused by Plasmodium falciparum and Plasmodium vivax.  It is effective against chloroquine-resistant forms of Plasmodium falciparum.  Mefloquine is also indicated for the prophylaxis of malaria caused by Plasmodium falciparum and Plasmodium vivax, including chloroquine-resistant forms of Plasmodium falciparum.[L8953] "
DB00359,For the treatment of rheumatic fever and meningococcal meningitis
DB00360,For the treatment of tetrahydrobiopterin (BH4) deficiency.
DB00361,"
 Vinorelbine tartrate is indicated for adults in the treatment of advanced non-small cell lung cancer (NSCLC), as a single therapy or in combination with other chemotherapeutic drugs [L1998].
Used in relapsed or refractory Hodgkin lymphoma, in combination with other chemotherapy agents [L2011].
 
For the treatment of desmoid tumor or aggressive fibromatosis, in combination with methotrexate [L2011].
For the treatment of recurrent or metastatic squamous cell head and neck cancer [L2011].
For the treatment of recurrent ovarian cancer [L2011].
For the treatment of metastatic breast cancer, in patients previously treated with anthracyline and/or taxane therapy [L2011].
For the treatment of HER2-positive, trastuzumab-resistant, advanced breast cancer in patients previously treated with a taxane, in combination with trastuzumab and everolimus [L2011].
"
DB00362,"For use in the treatment of the following fungal infections: Candidemia and other forms of <i>Candida</i> infections (intra-abdominal abscess, and peritonitis), Aspergillus infections, and esophageal candidiasis. Also considered an alternative treatment for oropharyngeal canaidiasis."
DB00363,For use in patients with treatment-resistant schizophrenia.
DB00364,"The sucralfate suspension [FDA label] and tablet [F4534] are used for the treatment of active duodenal ulcer for up to 8 weeks.  The tablet form may be used at a lower dose for healed duodenal ulcers, for the purpose of maintaining healing and preventing recurrence [F4519, F4534]. 
Sucralfate is also used in the prevention and/or treatment of gastro-esophageal reflux disease (GERD), gastritis, peptic ulcer disease, stress ulcer, in addition to dyspepsia [A177655, F4519]."
DB00365,"For treatment of adults with mild to moderate infections caused by susceptible strains of <i>Haemophilus influenzae</i>, <i>Streptococcus pneumoniae</i>, or <i>Moraxella catarrhalis</i>."
DB00366,"Used alone as a short-term sleep aid, in combination with other drugs as a night-time cold and allergy relief drug. Also used in combination with Vitamin B6 (pyridoxine) to prevent morning sickness in pregnant women."
DB00367,"**Emergency contraception**
Levonorgestrel, in the single-agent emergency contraceptive form, is indicated for the prevention of pregnancy after the confirmed or suspected failure of contraception methods or following unprotected intercourse. It is distributed by prescription for patients under 17, and over the counter for those above this age.[L7760] This levonorgestrel-only form of contraception is not indicated for regular contraception and must be taken as soon as possible within 72 hours after intercourse.[A181976,L7760] It has shown a lower efficacy when it is used off label within 96 hours.[T659]
**Long-term contraception or nonemergency contraception**
In addition to the above indication in emergency contraception, levonorgestrel is combined with other contraceptives in contraceptive formulations designed for regular use, for example with ethinyl estradiol.[L7766] It is used in various hormone-releasing intrauterine devices for long-term contraception ranging for a duration of 3-5 years.[L7778,L7781,L7787] Product labeling for Mirena specifically mentions that it is recommended in women who have had at least 1 child and can be indicated for the prevention of pregnancy for up to 8 years.[L7778,L42950] A subdermal implant is also available for the prevention of pregnancy for up to 5 years.[L7823]
**Hormone therapy and off-label uses**
Levonorgestrel is prescribed in combination with estradiol as hormone therapy during menopause to manage vasomotor symptoms and to prevent osteoporosis.[L7805]Off-label, levonorgestrel may be used to treat menorrhagia, endometrial hyperplasia, and endometriosis.[T659]"
DB00368,Mainly used to treat patients in vasodilatory shock states such as septic shock and neurogenic shock and has shown a survival benefit over dopamine. Also used as a vasopressor medication for patients with critical hypotension.
DB00369,For the treatment of CMV retinitis in patients with acquired immunodeficiency syndrome (AIDS)
DB00370,"This drug is indicated for the treatment of major depressive disorder and its associated symptoms.[FDA label]
Mirtazapine has been used off-label for a variety of conditions including panic disorder, generalized anxiety disorder, dysthymia, tension headaches, hot flushes, post-traumatic stress disorder (PTSD), sleep disorders, substance abuse disorders, and sexual disorders, among others.[A177811,A177946]"
DB00371,For the management of anxiety disorders or for the short-term relief of the symptoms of anxiety.
DB00372,For the treatment or relief of nausea and vomiting.
DB00373," Ophthalmic timolol is indicated for the treatment of increased intraocular pressure in patients with ocular hypertension or open-angle glaucoma. The oral form of this drug is used to treat high blood pressure.[L6724,L6727] In certain cases, timolol is used in the prevention of migraine headaches.[A179530,L6742] "
DB00374,"The FDA has indicated treprostinil for the treatment of pulmonary arterial hypertension[L41855,L41860,L41865] and pulmonary hypertension associated with interstitial lung disease[L41855] to improve exercise ability. It is also used to treat pulmonary arterial hypertension in patients requiring transition from epoprostenol.[L41860] The Health Canada label specifies that treprostinil is indicated for the long-term treatment of pulmonary arterial hypertension in NYHA Class III and IV patients who did not respond adequately to conventional therapy.[L24244]
L24244"
DB00375,"Colestipol is indicated as adjunctive therapy to diet for the reduction of elevated serum total and low-density lipoprotein cholesterol (LDL-C) in patients with primary hypercholesterolemia (a condition that features elevated LDL-C) who do not respond adequately to dietary changes .[FDA Label,L6115,F4555]
Therapy with lipid-altering agents like colestipol should be a component of multiple risk factor intervention in those individuals at significantly increased risk for atherosclerotic vascular disease due to hypercholesterolemia [FDA Label, L6115, F4555]. Treatment should begin and continue with dietary therapy [FDA Label, L6115, F4555]. In general, a minimum of six months of intensive dietary therapy and counseling should be carried out prior to initiation of drug therapy such as that with colestipol [FDA Label, F4555]. Shorter periods may be considered in patients with severe elevations of LDL-C or with definite coronary heart disease [FDA Label, F4555].
Although colestipol is effective in all types of hypercholesterolemia, some regional prescribing information note in particular that it is medically most appropriate in patients with Fredrickson's type II hyperlipoproteinemia [L6115]. Nevertheless, in patients with combined hypercholesterolemia and hypertriglyceridemia, although colestipol may be helpful in reducing elevated cholesterol, it is not formally indicated where hypertriglyceridemia is the abnormality of greatest concern [F4567]."
DB00376,"Tihexyphenidyl is indicated as an adjunct in the treatment of parkinsonism, an adjuvant in the treatment of parkinsonism with levodopa, and in the control of extrapyramidal disorders caused by central nervous system drugs.[L31773,L31778]"
DB00377,"For the prevention of acute and delayed nausea and vomiting associated with initial and repeat courses of moderately emetogenic cancer chemotherapy, as well as prevention of acute nausea and vomiting associated with highly emetogenic cancer chemotherapy. Also used for the prevention of postoperative nausea and vomiting for up to 24 hours post operation."
DB00378,Used to treat irregular duration of cycles and irregular occurrence and duration of periods caused by progesterone deficiency. Also used to prevent natural abortion in patients who have a history of habitual abortions.
DB00379,"For the treatment of ventricular tachycardia and symptomatic premature ventricular beats, and prevention of ventricular fibrillation."
DB00380,For reducing the incidence and severity of cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative doxorubicin hydrochloride dose of 300 mg/m^2 and would benefit from continued doxorubicin therapy. Also approved for the treatment of extravasation from intravenous anthracyclines.
DB00381,"Amlodipine may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of the following conditions [FDA label]:
• Hypertension 
• Coronary artery disease
• Chronic stable angina
• Vasospastic angina (Prinzmetal’s or Variant angina) 
• Angiographically documented coronary artery disease in patients without heart failure or an ejection fraction < 40%"
DB00382,For the palliative treatment of mild to moderate dementia of the Alzheimer's type.
DB00383,For the treatment of peptic ulcer disease and the relief of smooth muscle spasms in gastrointestinal disorders.
DB00384,"Triamterene is indicated for the treatment of edema associated with congestive heart failure, cirrhosis of the liver, and the nephrotic syndrome; also in steroid-induced edema, idiopathic edema, and edema due to secondary hyperaldosteronism.[L6166]
Triamterene in combination with hydrochlorothiazide is indicated for the managment of hypertension or treatment of edema in patients who develop hypokalemia following hydrochlorothiazide monotherapy, and in patients who require thiazide diuretic and in whom the development of hypokalemia cannot be risked.[L6169] Triamterene allows the maintenance of potassium balance when given in combination with loop diuretics and thiazides.[T28]"
DB00385,For the treatment of cancer of the bladder.
DB00387,"For the treatment of all forms of Parkinson's Disease, as well as control of extrapyramidal reactions induced by antipsychotic agents."
DB00388,"Phenylephrine injections are indicated to treat hypotension caused by shock or anesthesia,[L9416, L9410] an ophthalmic formulation is indicated to dilate pupils[L9413] and induce vasoconstriction, an intranasal formulation is used to treat congestion, and a topical formulation is used to treat hemorrhoids.[A187370] Off-label uses include situations that require local blood flow restriction such as the treatment of priapism.[A187370]"
DB00389,For the treatment of hyperthyroidism and thyrotoxicosis. It is also used to prepare patients for thyroidectomy.
DB00390,"Digoxin is indicated in the following conditions: 1) For the treatment of mild to moderate heart failure in adult patients.[L9143] 2) To increase myocardial contraction in children diagnosed with heart failure.[L9143] 3) To maintain control ventricular rate in adult patients diagnosed with chronic atrial fibrillation.[L9143]
In adults with heart failure, when it is clinically possible, digoxin should be administered in conjunction with a diuretic and an angiotensin-converting enzyme (ACE) inhibitor for optimum effects.[L9143]
"
DB00391,Sulpiride is indicated for the treatment of acute and chronic schizophrenia.[L31933]
DB00392,For use in the treatment of Parkinson's disease and also used to control severe reactions to certain medicines such as reserpine.
DB00393,For use as an adjunct to improve neurologic outcome following subarachnoid hemorrhage (SAH) from ruptured intracranial berry aneurysms by reducing the incidence and severity of ischemic deficits.
DB00394,"Indicated for oral inhalation use in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. The aerosol form of beclomethasone diproprionate is not indicated for the relief of acute bronchospasm.[L6871]
Indicated for intranasal use to relieve the symptoms of seasonal or perennial allergic and nonallergic (vasomotor) rhinitis and prevent the recurrence of nasal polyps following surgical removal.[L6880]
Indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses in patients 13 years of age and older.[L10782] Corticosteroid-responsive dermatoses include psoriasis, contact dermatitis (dermatitis venenata), atopic dermatitis (infantile eczema, allergic dermatitis), neurodermatitis (lichen simplex chronicus, lichen planus, eczema, eczematous dermatitis), intertrigo, dyshidroses (pompholyx), seborrheic dermatitis, exfoliative dermatitis, solar dermatitis, stasis dermatitis, and anogenital and senile pruritus.[L6886]"
DB00395,"Carisoprodol is indicated for the relief of discomfort related to acute, painful musculoskeletal conditions [FDA label].

**Important limitations of use** [FDA label]:
• Should only be used for acute treatment periods up to two or three weeks 
• Adequate evidence of effectiveness for more prolonged use has not been established 
• Not recommended in pediatric patients less than 16 years of age"
DB00396,"**Gelatinized capsules**
The gelatinized capsules are indicated for use in the prevention of endometrial hyperplasia in non-hysterectomized postmenopausal women who are receiving conjugated estrogens tablets. They are also indicated for use in secondary amenorrhea [FDA label]. 
**Vaginal gel**
Progesterone gel (8%) is indicated as progesterone supplementation or replacement as part of an Assisted Reproductive Technology (“ART”) treatment for infertile women with progesterone deficiency.  The lower concentration progesterone gel (4%) is used in the treatment of secondary amenorrhea, with the use of the 8% concentration if there is no therapeutic response to the 4% gel [F3898].
**Vaginal insert**
This form is indicated to support embryo implantation and early pregnancy by supplementation of corpus luteal function as part of an Assisted Reproductive Technology (ART) treatment program for infertile women [F3901].
**Injection (intramuscular)**
This drug is indicated in amenorrhea and abnormal uterine bleeding due to hormonal imbalance in the absence of organic pathology, such as submucous fibroids or uterine cancer [F3907]. 
**Tablets, contraceptive**
The tablet form of progesterone in contraceptive formulations is indicated for the prevention of pregnancy [F3904]. "
